id,name,country
624,Paper Rex,Singapore
4050,FULL SENSE,Thailand
4210,Made in Thailand,Thailand
466,BOOM Esports,Indonesia
10597,ONE Team Esports,Taiwan
6199,Team Secret,Philippines
7031,NAOS,Philippines
6387,BLEED,Singapore
4330,Fancy United Esports,Vietnam
14805,ORGLESS,Singapore
3351,LaZe,Singapore
6665,Team NKT,Thailand
8030,MLT Esports,Bangladesh
3136,Oasis Gaming,Philippines
4733,True Rippers,India
14277,Team Flash,Vietnam
3108,Oblivion Force,Hong Kong
10979,Kizuna Esports,Singapore
8375,ZOL Esports,Philippines
8369,Revenant Esports,India
8304,Talon Esports,Thailand
1110,Alter Ego,Indonesia
13368,Grayfox Esports,India
1033,Reckoning Esports,India
15058,OLD STINKY CAT,Philippines
14773,Disguised,Singapore
8925,ARF TEAM,Indonesia
623,Sharper Esport,Thailand
14752,MABUHAY,Indonesia
10147,Gods Reign,India
11275,LAZY,Vietnam
15306,Chinggis Warriors,Mongolia
878,Rex Regum Qeon,Indonesia
14634,PEI WAN E-SPORTS,Taiwan
8303,S2 Esports,Taiwan
15052,JustUs,Philippines
14385,Kimchi Fried Rice,Singapore
10294,NEXGA,Malaysia
13743,Team Kobolds,Mongolia
14795,Anita Max Wynn,Singapore
14743,Bin Truong,Indonesia
3437,Dewa United Esports,Indonesia
14809,Ninjas in Galaxy,Singapore
11276,Rapid Lofi,Vietnam
14793,322,Singapore
13382,Team MysticX,Pakistan
15016,Tàn Dư Esports,Vietnam
15065,Carti Esports,Philippines
14754,THE HERO,Indonesia
15018,NCTDK,Vietnam
14750,Devilz GG,Indonesia
14196,APAC Slayer,Indonesia
14767,Consolidate Gaming,India
13768,MiBH,India
14763,The Covenant,Bangladesh
8587,The Mad Men,Vietnam
14199,BIGG Motley,Indonesia
5960,BEAST,Indonesia
15061,BNB,Philippines
14616,Barn nong chok,Thailand
7039,Stream Raiders Nacague,Philippines
8929,Hungkuang Falcon,Taiwan
15051,Jogojogokids125,Philippines
15237,The MongolZ,Mongolia
918,Global Esports,India
13978,Ivy League Gaming,Philippines
13977,Valhalla,Philippines
15070,Tropa Tropa Gang,Philippines
15067,Adamant Celestials,Philippines
14802,Redsea Esport,Malaysia
8484,Medal Esports,India
15019,Original Gaming,Vietnam
14009,Solus Esports,Indonesia
15015,KOBIET,Vietnam
13374,AIRAVATA ESPORTS,India
15309,Rise Up,Mongolia
14007,Crocodile Tears,Vietnam
15017,Cyberking PSE,Vietnam
15064,KNG EMPIRE,Philippines
15014,SnowFox Esports,Vietnam
5426,The Infinity Esport,Thailand
15062,NO LUCK PURE SKILL,Philippines
15066,EXTINGUISH,Philippines
15057,Insurgo Alpha,Philippines
7397,XERXIA Esports,Thailand
10592,ROA Esport,Taiwan
879,Todak,Malaysia
15050,No Org,Philippines
15059,NOXA Ares,Philippines
14799,Please Don't Fire,Singapore
8485,prime 5,Pakistan
15308,Valiance,Mongolia
14814,Future Greats,Singapore
14798,ROX,Malaysia
15060,Me and my Friends,Philippines
14205,Dieversity Esports,India
6397,Five Ace Esports,Taiwan
14148,Valee Thai Esports,Thailand
13763,Hyderabad Hydras,India
1485,Aricat Esport Family,Thailand
14819,Carnival Gaming,India
910,Exceeli Esports,Bangladesh
14818,Serenity Esports,Singapore
5455,Lethal Esports,India
3490,LP33,Taiwan
15307,Baavgai United,Mongolia
14811,ENDER,Singapore
5998,SUS SquaD,India
8904,Orangutan,India
8741,Blitz Esports,Malaysia
14740,5 Clown,Indonesia
14711,Geek Fam,Philippines
11277,Kuzu Esports,Malaysia
14636,yuanyoyin,Taiwan
10356,AIM PH,Philippines
11238,TwoKay,Vietnam
11318,SendTreePay,Taiwan
4860,Dominus Esports,Vietnam
