id,name,country
6961,LOUD,Brazil
15117,Hero Base,Brazil
7386,MIBR,Brazil
15072,2Game Esports,Brazil
1124,RED Canids,Brazil
15021,Legacy,Brazil
10755,Galorys,Brazil
2406,FURIA,Brazil
14470,OLIMPO,Brazil
13683,SAGAZ,Brazil
10727,Stellae Gaming,Brazil
14547,Spirit Academy,Brazil
15523,011013053021,Brazil
7055,Team Liquid Brazil,Brazil
15277,Team Leveling,Brazil
6946,TBK Esports,Brazil
15163, trator croata,Brazil
14647,SAIDEIRA ESPORTS,Brazil
15161,2007,Brazil
15074,XLD Gaming,Brazil
15520,nnnnnnnnn,Brazil
14557,os piticos,Brazil
15296,OS CARA CEGO 2.0,Brazil
15521,NoOrg9,Brazil
15169,PELOTAO DOS RAUL,Brazil
15295,xerecrazy,Brazil
14654,JUMENTUS,Brazil
15284,revoada,Brazil
13910,Authority Fate,Brazil
15298,lanchonete do gerso,Brazil
12192,LOUD GC,Brazil
14204,KAMI TENCHI,Brazil
13995, amamosfranjudas,Brazil
10933,ULTIMATE,Brazil
14558,Fenda Dos Streamers,Brazil
12650,NOITE PAULISTA,Brazil
14777,Sagaz Academy,Brazil
12227,RUGAL,Brazil
13998,ACQUA GAMING,Brazil
15281,donas da bala,Brazil
13889,MIRAI,Brazil
15280,DREAMMAX,Brazil
10762,Intense Game,Brazil
15073,CO-OP.gg,Brazil
8494,JNS Gaming,Brazil
14048,BOOMBA ROSA,Brazil
12653,insanity,Brazil
