id,name,country
1120,EDward Gaming,China
12685,Trace Esports,China
11328,FunPlus Phoenix,China
11981,Dragon Ranger Gaming,China
12010,Bilibili Gaming,China
13576,JD Gaming,China
14137,Titan Esports Club,China
13164,Chao Hui EDward Gaming,China
1119,All Gamers,China
13790,Wolves Esports,China
1224,Weibo Gaming,China
731,TYLOO,China
13564,Regans Gaming,China
12011,Douyu Gaming,China
11980,Four Angry Men,China
5461,Invictus Gaming,China
12064,Nova Esports,China
11983,Kingzone,China
5944,Night Wings Gaming,China
12784,KeepBest Gaming,China
4683,Invincible Gaming,China
906,NewHappy Esports,China
11982,KunPeng Gaming,China
11986,TJD Esports Club,China
2934,FENNEL,Japan
516,FAV gaming,Japan
104,REJECT,Japan
278,DetonatioN FocusMe,Japan
283,Sengoku Gaming,Japan
2988,NORTHEPTION,Japan
5448,ZETA DIVISION,Japan
9315,ZETA DIVISION GC,Japan
294,CREST GAMING Zst,Japan
11229,VARREL,Japan
10606,AMORIS Vega,Japan
14677,esports team αD,Japan
14665,RABILIS BURST,Japan
2108,BLUE BEES.ESP,Japan
14383,NOEZ FOXX,Japan
11233,BC SWELL,Japan
11498,Citrus e-sports,Japan
282,SCARZ,Japan
8043,SOLAR ANTHEM,South Korea
13612,Xenesis e-sports,Japan
11506,Acris,Japan
8870,HIT GAMING CLAN,Japan
13615,Father's Back,Japan
6798,REIGNITE,Japan
11491,TeamDuration,Japan
11490,Murash Gaming,Japan
5148,Insomnia,Japan
13614,Striderz,Japan
11513,DopeNess Esports,Japan
6869,IGZIST,Japan
2990,Lost Eden,Japan
10607,SETOUCHI SPARKS,Japan
8185,DRX,South Korea
17,Gen.G,South Korea
14,T1,South Korea
14590,LFG Portal,South Korea
12446,SLT Seongnam,South Korea
11060,Nongshim RedForce,South Korea
14599,IAM,South Korea
11539,Blater,South Korea
8099,CNJ Esports,South Korea
14596,OLY,South Korea
11348,Dplus Esports,South Korea
14566,fOu Clan,South Korea
14422,Sin Prisa Gaming,South Korea
14584,Frozen 3,South Korea
14574,Nuclear,South Korea
8906,Beyond Stratos Gaming,South Korea
14567,YnC,South Korea
14602,ReturN,South Korea
13551,CVA,South Korea
14565,SHERPA,South Korea
6622,Team LuZi,South Korea
14582,MS,South Korea
8086,Maru Gaming,South Korea
8182,Incheon On Sla2ers,South Korea
