id,name,country
2593,FNATIC,Europe
8044,MOUZ,Europe
4915,Natus Vincere,Europe
6538,DSYRE,Europe
12474,GoNext Esports,Europe
6313,KPI Gaming,Europe
1184,FUT Esports,Turkey
8877,Karmine Corp,Europe
12694,Gentle Mates,France
3531,Acend,Europe
4686,Fire Flux Esports,Turkey
2755,SAW,Portugal
11479,Apeks,Europe
8049,Diamant Esports,Europe
5214,CGN Esports,Germany
474,Team Liquid,Europe
2059,Team Vitality,Europe
14429,Chipi Chapa's,Europe
14419,GIANTX,Europe
13558,HOWL Esports,Turkey
1001,Team Heretics,Europe
11257,Szach Mat,Poland
11232,Joblife,Europe
397,BBL Esports,Turkey
7967,Mandatory,France
8946,Zero Tenacity,Poland
6882,FOKUS,Germany
9820,Oxuji,Russia
8924,Ramboot Club,Europe
7932,OnlyFins,Finland
4616,UCAM Esports Club,Europe
10188,VALIANT,France
10417,Formulation Gaming,Europe
4567,Papara SuperMassive,Turkey
11975,Permitta eSports,Germany
14467,SweetNsour,Europe
13785,FOKUS & Friends,Germany
14529,Predator Xperion NXT,Germany
9621,trashcan,Europe
15155,Bakim Corp,International
14476,ELEVATE,Portugal
8380,DIVIZON,Europe
4762,Galakticos,Turkey
2369,Entropy,Germany
14523,Requiem,Europe
13599,Cicadas Gaming,France
10149,K10,Europe
11780,Reveal Multigaming,Germany
15009,Falke Esports,Spain
4572,Galatasaray Esports,Turkey
12679,apinaorkesteri,Europe
11829,eSports Cologne,Germany
13224,NXT,United Kingdom
3478,PCIFIC Espor,Turkey
14479,SK Gaming,Germany
12851,giefKalash,International
13783,VCL Rejects,Germany
1342,Axsor,Europe
14536,Irregulars,Germany
13254,Szypko,Europe
12855,Wizard Esports,Norway
9438,VX300 Gaming,Italy
9011,Impulse GW,Portugal
15467,KO3AKU,Ukraine
3895,Macko Esports,Italy
12626,AEX-1 Nova,Europe
12485,Yari Esports,Europe
13795,FTW Leça FC Esports,Portugal
15300,EXO Clan,United Kingdom
12256,Akroma,France
12948,ONLINERS,Europe
7448,Insight Gaming,United Kingdom
9767,Dragonslayerzzz,Europe
13161,NOVO Esports,Italy
11978,GEEKZ ENERGY eSPORTS,Germany
13157,Albanian Eagle,Europe
4611,Team hz,Russia
11273,3DMAX,France
14430,DEMURY1,International
14427,yara mi lala,International
8996,ESC Gaming,Europe
6149,Case Esports,Europe
14425,FFXD,Poland
13173,Ginger Supremacy,Netherlands
15487,Lootcifer,International
14440,MRVZT,International
12965,OblivionXC,United Kingdom
12489,Metizport,Norway
15159,NOVITA,International
6127,Axolotl,Italy
9077,S2G Esports,Turkey
13754,Team NVus,Turkey
12700,ZennIT,Europe
14538,KOPFSHOOTAZ,Germany
14614,Happy Game Esport,Italy
14438,0LoseStreak,International
