id,name,country
11001,M80,Canada
2,Sentinels,United States
1034,NRG Esports,United States
10725,Oxygen Esports,United States
11836,Turtle Troop,United States
13188,Moist x Shopify,United States
11058,G2 Esports,United States
120,100 Thieves,United States
188,Cloud9,United States
13920,SaD Esports,United States
6985,QoR,United States
106,TSM,United States
11455,Van Lyn ,Canada
9613,Blinn Esports,United States
14822,Thinking Men,United States
5832,Zero MarksMen Black,United States
14826,Ions Day Care,United States
6422,Resonate,United States
10448,Winthrop University,United States
13847,SaD Purple,United States
12756,Let Us Cook,United States
9975,St. Clair Saints,Canada
5038,YFP Gaming,United States
14662,1337,United States
13232,The Glazers,United States
14278,Shopify Rebellion,Canada
13979,special grade,International
15539,Tootsie Pop's,International
5248,Evil Geniuses,United States
13277,Lemonade Stand,United States
14660,Burgerville,United States
15250,Burger Boyz,United States
14829,RyZe Esports ,United States
15011,Together We Are Terrific,United States
13505,MBU Spartans,United States
13682,Fisher White,United States
5601,Nightblood Gaming,United States
12781,Last Resistance,United States
14661,the basement,United States
12900,Maryville University,United States
15533,Organization 13 ,International
10482,West Virginia University,United States
15000,AWAKEN,United States
15234,1553pork,International
15305,ASTANE,United States
15229,evil genies,International
10456,FIU Varsity,United States
14663,Cookin Papas,United States
15232,Culturized,International
13834,SEN Shahzam,Canada
14159,Wook's Academy,United States
9679,WTP,United States
14828,Retake Mid,International
13078,CC Premier,United States
11658,Boomer Bandits,International
14086,Glue Huffers,International
12769,Life's a Game,United States
13091,Luminous,International
14960,Shifty505,United States
14265,be like mike,International
14820,the process,International
13191,Spate Esports,United States
14830,Refugee Camp,International
14364,Six Figures,United States
13657,chicago project,International
12001,Goth Girl Sanctuary,International
11648,ROSE,United States
14824,boomertin,International
13636,Harrisburg University,United States
12475,UCF Gold,United States
14994,les piments,Canada
15348,Prospects,International
14160,Notorious,International
10086,Converse Purple,United States
13527,Cumberland Varsity,United States
14293,Cookie Monster Fanclub,International
13143,Why So Serious,International
13273,Equinox,International
13271,Colgate EP,International
14821,Ouroboros,International
8614,Mizzou Esports,United States
14833,Blue Rose,International
15003,Out the mud,International
12994,Box Of Kittens,United States
12799,Polarity,International
11272,Disciples,United States
14144,Yordle Lovers,International
12750,bandzmoneyblickygat,International
13512,CCG Esports,United States
14827,Gunter's Goons ,United States
13146,NextGenEsports,United States
12933,Tussin Esports,United States
13004,96 Bulls,International
11840,Handsome Jit,United States
12970,fun guys fun times,International
13842,Dexterity Gaming,United States
13076,Ra Strength,International
12926,AKA,International
13190,LC,International
12316,Styx's Sticky Salamanders,International
1248,TradeLikePros,United States
14023,Night Raid,International
12440,Sovereign Esports,United States
14145,Bambys Boys,International
1669,Able Esports,Canada
2785,TAMU Maroon,United States
13411,Predator X Gaming,United States
13012,VizUprising Mafia,United States
11436,UW Madison Red,United States
12838,Premier Esports Red,International
11949,dZOriginals,United States
13193,Banana Flippers,International
11358,Yacht Club,United States
14219,WASTED TALENT,International
13086,Mango Munchers,International
10359,Ottawa Braves,United States
13528,Silly Little Guys,International
7711,Berzerkers,United States
12738,ThriveHQ,International
12020,Unexpected Victory,Canada
14832,diversity,International
12737,LazerrFreeks8,United States
8357,Zer0 Latency,United States
13838,Team Equinox,International
11666,Think Again,International
14162,Neo,International
12843,we are pugging,International
13199,Defiant,International
13007,Thrive 2 Greatness,International
9361,Harmony,United States
14993,Luxoria,United States
13092,SOS,International
4260,afterMath Esports,United States
12932,Matcha Tea Red,International
13014,Furious Five,International
14140,RDM,International
12779,Valor United,United States
12431,Orlando Hurricanes,United States
11424,Koalanoob Fan Club,United States
11202,Wobbegongs,United States
12801,VizUprising,International
14838,1T,United States
2760,Valkyrie,United States
12808,86th District,United States
13077,Team 7,United States
15092,Van Lyn Black,United States
9533,Georgia Tech Gold,United States
9021,BHOP Esports,International
13094,Hybrid Authority,International
12321,call it Luck,United States
13844,Stay Hard,United States
12840,Wolf Pack,International
12434,Team Bakery,International
12744,Team Kodiak,International
13494,Berzerkers Night,United States
13987,Take Back Control,International
13511,ImPerium Vancuverii,International
10971,RyZ Knights,United States
14965,good luck,International
10370,Chosen 1s,United States
14835,goodfellas,International
8038,SNHU Blue,United States
13144,The Oversleepers,International
12980,5K Imperials,United States
7716,EDO TENSEI,Canada
13668,Tedward Gaming,Canada
13524,Asian and Co,International
12749,Team NSGE,International
11687, Sway eSports,United States
14266,Bucky Bandits,International
12795,Neons,International
12802,KAWAII AIMERZ,International
9214,Tea Mates,International
10087,Team Digital,Canada
14271,First Class,International
11956,Excane,International
12016,Miracle,Canada
10580,Boise State University,United States
10536,Rochester University Esports,United States
13006,Red Flag,International
11357,Dead Orbit,Canada
11199,Zero Tolerance,International
11355,Nonnegative,United States
12931,TopLine Esports,United States
6866,RIT Orange,United States
8471,Omnipotent Gaming,International
4317,Event Horizon,International
12755,High Roller Esports,International
13652,Army of Five,United States
14141, Imposter's Bank Robbers,International
12841,YDZ Infinity,United States
9483,Astéri 7,United States
11200,Cataclysm Gaming,United States
