id,name,country
14469,JiJieHao,Australia
15289,Arena Internet Cafe,Australia
15253,FOCUSGG,Australia
13849,JFT,Australia
8448,BOBO,Australia
15208,EDGE,Australia
15118,Crim's Kittens,International
14281,Arcade Esports,Australia
15216,Rub n' Pug,Australia
15210,the burgers,International
14689,Indian Greed,Australia
15197,iPGN,Australia
15212,DINGLE GOOGY and friends,International
15221,Corn Dawgs,International
12814,PLUG,International
4073,Bandit ESC,Australia
1319,Funcrew,Australia
10307,Built For Greatness,Australia
14692,DXA Esports,Australia
13863,Estio eSports,Australia
14688,Xu Gang,International
14691,VEND,International
9727,Koopa Troopas,Australia
14699,BarackObamaPizza,International
14683,Infernum,Australia
15227,After Life Esports,Australia
15198,WE DONT PLAY ANYMORE,International
14695,LAZYTOWN,International
10305,club penguin,Australia
14686,Xu Gang Sapphire,International
8535,Salt n Pepper,Australia
