,,RND,KPR,APR,FKPR,KMAX
Zest,ascent_stats,17,1.41,0.41,0.06,24
Zest,bind_stats,20,0.45,0.15,0.00,9
Zest,icebox_stats,37,0.51,0.19,0.05,10
Zest,lotus_stats,59,0.39,0.20,0.03,11
Zest,split_stats,20,0.80,0.25,0.10,16
EJAY,ascent_stats,21,1.48,0.52,0.24,31
EJAY,breeze_stats,16,0.50,0.13,0.13,8
EJAY,split_stats,21,0.76,0.19,0.19,16
EJAY,sunset_stats,19,1.16,0.42,0.21,22
kiss,ascent_stats,51,1.41,0.27,0.41,28
kiss,bind_stats,56,0.80,0.18,0.11,20
kiss,breeze_stats,20,0.75,0.15,0.20,15
kiss,icebox_stats,23,0.96,0.17,0.39,22
kiss,lotus_stats,115,0.87,0.21,0.23,24
kiss,split_stats,89,1.00,0.18,0.24,25
kiss,sunset_stats,71,0.79,0.20,0.15,23
Vedi,ascent_stats,24,1.25,0.42,0.08,30
Vedi,bind_stats,21,0.67,0.33,0.00,14
Vedi,lotus_stats,24,0.63,0.21,0.00,15
Vedi,split_stats,20,0.60,0.35,0.10,12
Vedi,sunset_stats,19,0.63,0.26,0.00,12
req,ascent_stats,23,1.43,0.22,0.26,33
req,bind_stats,26,0.81,0.19,0.23,21
req,breeze_stats,42,0.71,0.10,0.07,19
req,icebox_stats,68,1.00,0.15,0.16,24
req,lotus_stats,21,0.86,0.10,0.19,18
req,sunset_stats,36,1.03,0.17,0.22,21
riyabtw,ascent_stats,17,0.94,1.12,0.12,16
supamen,ascent_stats,20,0.95,0.60,0.20,19
supamen,bind_stats,24,0.71,0.08,0.25,17
supamen,breeze_stats,22,0.68,0.05,0.18,15
supamen,icebox_stats,36,0.42,0.11,0.03,8
supamen,lotus_stats,84,0.68,0.35,0.10,18
supamen,split_stats,17,0.53,0.24,0.12,9
supamen,sunset_stats,62,0.53,0.19,0.08,20
nataNk,ascent_stats,20,1.25,0.30,0.15,25
nataNk,breeze_stats,19,0.84,0.26,0.11,16
nataNk,icebox_stats,37,0.95,0.19,0.24,20
nataNk,lotus_stats,17,0.94,0.06,0.06,16
nataNk,split_stats,19,0.79,0.16,0.05,15
nataNk,sunset_stats,42,0.79,0.29,0.19,20
KRX,ascent_stats,22,1.32,0.09,0.36,29
KRX,lotus_stats,24,0.71,0.33,0.08,17
KRX,split_stats,23,0.61,0.26,0.26,14
puggy,ascent_stats,36,0.92,0.33,0.08,18
puggy,breeze_stats,23,0.61,0.30,0.09,14
