Player,RND,KPR,APR,FKPR,KMAX
"Alexy
XIP",14,1.50,0.21,0.36,21
"kadiri
ARC",16,1.44,0.25,0.13,23
"kamyk
JL",29,1.14,0.41,0.10,18
"Kamiyu
XIP",14,0.71,0.86,0.14,10
"poof
dont",16,1.38,0.13,0.31,22
"Agla
Team",16,1.19,0.38,0.50,19
"enerii
XIP",14,1.14,0.43,0.21,16
"P1nA
VIE",19,1.00,0.63,0.05,19
"123
KBLD",21,1.43,0.43,0.24,30
Doenmo,18,1.22,0.28,0.22,22
"Bunny
F4Q",18,1.11,0.17,0.17,20
"soulcas
APK",22,1.32,0.18,0.32,29
"YoZeii
Lyos",22,1.18,0.18,0.05,26
Pho,21,1.38,0.24,0.24,29
"Lilo
MBH",45,1.18,0.22,0.27,31
"Javelin
LGE",18,1.22,0.33,0.22,22
"Ayaka
Team",16,1.25,0.38,0.06,20
"BerserX
BME",19,1.00,0.58,0.11,19
Laleh,17,1.29,0.41,0.12,22
"Akai
FLC",49,1.31,0.20,0.22,24
"Boaster
FNC",18,0.89,0.44,0.06,16
"Cade3k
TS",21,1.14,0.14,0.19,24
"Lime
CASE",42,1.10,0.31,0.14,23
"NezhaaPotz
HTN",17,1.41,0.24,0.24,24
"Katsura
ALM",20,1.15,0.65,0.10,23
"prozin
TBK",54,0.96,0.37,0.13,20
"catalina
ZEN.GC",16,1.13,0.44,0.06,18
"Wo0t
TH",20,1.15,0.25,0.15,23
"spoof
SaD",18,1.06,0.44,0.11,19
"ary
ZEN.GC",16,1.25,0.31,0.31,20
"Xross
NS",17,1.06,0.53,0.18,18
"yoman
NS",17,1.18,0.18,0.12,20
"16Ch0ps
MKG",24,1.13,0.13,0.25,27
"rkz
CE",46,1.15,0.17,0.07,33
"NaturE
EG",24,1.00,0.58,0.08,24
evolution,23,1.04,0.13,0.17,24
"CHICHOO
EDG",63,0.86,0.46,0.05,23
"Pkm
NS",17,1.00,0.12,0.12,17
"RedLight
SLT",44,0.91,0.45,0.02,21
"toozy
VZ",20,0.75,0.50,0.10,15
"jeffie
HU",26,1.08,0.19,0.15,28
"pdr
IGW",24,1.08,0.29,0.08,26
Cryptic,22,0.91,0.32,0.23,20
"mads
MDK",112,1.13,0.21,0.23,40
"Jesse
VLNT",39,0.87,0.23,0.08,20
"H4te
GTZ",19,0.95,0.26,0.11,18
"RYRY
ARC",16,0.88,0.38,0.13,14
"Crazy NY
XS",48,0.88,0.52,0.06,22
Leen,42,1.07,0.14,0.24,28
"MAGiK
JL",29,0.93,0.45,0.07,15
"Vims
Wook",15,0.53,0.27,0.07,8
"Tag
DSY",41,0.93,0.46,0.10,20
drz,23,1.09,0.22,0.09,25
"jas
JL",29,1.00,0.24,0.34,17
"Avez
NASR",41,1.00,0.41,0.12,27
bobae,19,1.11,0.11,0.16,21
"Vitie
Uzhi",42,1.05,0.52,0.14,24
"Haodong
EDG",63,0.70,0.30,0.14,19
"dgzin
HERO",61,1.02,0.16,0.08,29
"Tara
XIP",14,0.64,0.93,0.00,9
"angil
YCHT",17,1.00,0.18,0.12,17
"Caim
IGW",24,0.88,0.21,0.21,21
"Chloe
FIRE",22,0.95,0.36,0.14,21
"Bobovo
IluZ",19,1.05,0.05,0.05,20
"Bob
SAD",17,0.76,0.35,0.06,13
"bucher
SGE",21,1.19,0.14,0.14,25
"Mercure
ZER",22,0.82,0.36,0.09,18
"Fizzy
MOUZ",62,0.89,0.16,0.10,26
"Huso
FH",26,0.92,0.19,0.19,24
"KHaaLiD
FLC",49,0.78,0.45,0.08,16
"Yuta
CG",38,1.03,0.37,0.21,23
"JitBoyS
TLN",43,0.84,0.49,0.09,20
"romily
KRÜ.B",40,0.88,0.30,0.05,18
"NAMI
LR",23,1.04,0.26,0.09,24
"PowerPixele
PP",68,0.87,0.47,0.13,18
"LeoZ
N5R",22,1.00,0.59,0.14,22
"shirazi
XIP",14,0.79,0.36,0.21,11
"Cunha20
SAW",43,0.81,0.56,0.12,20
"woody
ARF",40,0.95,0.28,0.08,21
"Jinboong
SG",44,1.11,0.14,0.14,26
"Alfajer
FNC",18,0.83,0.56,0.00,15
"xelouz
UNT",49,0.88,0.37,0.00,23
"zeek
CVU.NBG",65,0.92,0.48,0.17,29
BBC,19,0.84,0.74,0.11,16
"Famouz
BME",19,1.05,0.11,0.42,20
"Tyler
OP",23,1.00,0.26,0.17,23
cfuzzy,23,0.91,0.22,0.13,21
"jcrueL
NBG",65,0.83,0.55,0.05,23
"Joudaa
GMX.L",24,0.92,0.38,0.25,22
"ellie
aTTaX",44,1.09,0.20,0.18,25
PeterBarker,18,1.17,0.39,0.28,21
"Yohpa
CG",16,1.06,0.25,0.31,17
"GatsH
CASE",42,0.83,0.38,0.10,18
"kev
Fish",50,1.00,0.18,0.14,29
"isa1
isa",24,0.96,0.17,0.25,23
"Kadoom
SPE",64,1.11,0.17,0.25,25
"d1msumboi
RESO",20,0.95,0.30,0.10,19
"may
FATE.F",16,0.75,0.44,0.13,12
"deminatiX
IW",45,0.91,0.13,0.27,21
"Vania
G2.G",77,0.91,0.38,0.04,25
"Seraph
OXEN",70,0.86,0.27,0.13,24
"aspas
LEV",85,0.94,0.20,0.20,31
Bugsy,68,0.94,0.41,0.12,22
"RobbieBk
JL",29,0.69,0.41,0.10,16
Chintu,21,0.90,0.52,0.14,19
"KP
RF.GC",28,1.00,0.11,0.11,28
