Player,RND,KPR,APR,FKPR,KMAX
"terror
Hype",18,1.17,0.50,0.33,21
"crescents
NWJ",13,1.46,0.31,0.31,19
Fri,16,1.19,0.25,0.19,19
"yaamorii
NWJ",13,1.23,0.31,0.38,16
blurry,18,1.33,0.28,0.11,24
grahams,72,1.35,0.26,0.14,34
"muffinloop
GEX",13,1.15,0.46,0.08,15
"kael
MAS",19,1.26,0.53,0.26,24
lua,22,1.27,0.27,0.09,28
"Nayte
ZER",16,1.19,0.25,0.25,19
"soulcas
APK",19,1.21,0.89,0.05,23
"Jenniffer
ERIN",29,1.17,0.21,0.38,21
"Chloettw
4Fun",16,1.19,0.50,0.19,19
doriftoh,19,1.26,0.11,0.32,24
"Shniider
RAAD",17,1.12,0.35,0.18,19
"reN
Ay",23,1.35,0.09,0.26,31
"Cintyx
BFG",15,1.07,0.53,0.20,16
"Pati
BCK",13,0.85,0.46,0.00,11
"Cowpie867
UCI",19,1.21,0.26,0.47,23
zoe,14,1.21,0.21,0.29,17
"Fall
Van",21,1.33,0.29,0.14,28
"Amaya
NYX",26,1.31,0.27,0.15,34
"consz
MGLZ",17,1.12,0.06,0.18,19
"kalita
revo",16,1.06,0.19,0.00,17
"Exirst
EDGE",18,1.17,0.11,0.11,21
"Festival
Mete",29,1.14,0.10,0.31,20
Nastyiwnl,15,1.20,0.27,0.20,18
"slender
FXL",14,1.07,0.36,0.07,15
"svnny
Loaf",20,1.25,0.40,0.10,25
"xavi8k
PHI",16,0.88,0.63,0.06,14
Mihlog,33,1.24,0.36,0.15,23
"Eden
Cybe",21,1.10,0.24,0.10,23
Nathy,16,1.06,0.38,0.06,17
"dods
KRÜ.B",22,1.18,0.14,0.23,26
"Vichyx
Huge",16,1.31,0.25,0.31,21
"MiniBoo
TH",39,1.18,0.21,0.23,24
ACE,20,1.15,0.45,0.10,23
"bênjiro
buch",19,1.21,0.26,0.05,23
"mikki
Simp",15,0.80,0.53,0.07,12
"Sueiy
WSU",81,1.06,0.28,0.17,25
"Jelly
MIBR",82,0.98,0.63,0.11,25
Shinon,20,1.15,0.30,0.05,23
"onni
CYG",23,1.09,0.26,0.13,25
"fainz
RAAD",17,0.94,0.06,0.29,16
"Nythan
ARF",37,1.05,0.51,0.22,21
"signed
JJH",23,1.00,0.39,0.09,23
DWX,20,1.05,0.15,0.15,21
"furyan
FXL",14,1.29,0.14,0.43,18
"Kiuuuu
LGD",23,1.26,0.17,0.13,29
"Sato
GLRS",40,1.15,0.13,0.10,25
"Moechilla
STORM",37,1.05,0.30,0.08,25
"SoOn
MDR",39,1.08,0.21,0.10,27
"srN
MIBR",82,1.13,0.20,0.34,24
"ellie
aTTaX",24,1.21,0.17,0.42,29
"romia
FL.GC",17,1.12,0.29,0.24,19
"Natyzinha
B4",13,0.92,0.69,0.31,12
Android,19,1.05,0.21,0.16,20
"kaho
SFU.P",83,1.24,0.23,0.27,22
"HANE
Mete",29,1.07,0.24,0.14,18
Roku,24,1.08,0.38,0.21,26
"metawiN
PAB",57,0.96,0.42,0.14,21
"Curumi
FL.GC",17,1.29,0.29,0.12,22
"Lied
FSX",79,0.91,0.43,0.10,22
"spoof
SaD",17,1.00,0.12,0.29,17
"nekoaimer
YFP",19,1.11,0.21,0.11,21
"drain
LAG",20,1.25,0.40,0.10,25
ewww,20,1.15,0.15,0.45,23
"Nicolee
AST",37,1.05,0.19,0.11,22
The Law,22,1.27,0.32,0.27,28
"hype
APK",19,1.16,0.21,0.11,22
"Creed
Six",21,1.10,0.29,0.10,23
str0nda,53,1.11,0.15,0.28,21
"Pengwing
NOVUS",37,0.92,0.35,0.08,19
Proxh,22,1.23,0.18,0.18,27
"crush
Army",24,1.08,0.08,0.17,26
"velis
TOR",57,0.88,0.44,0.09,20
"aspas
LEV",38,1.11,0.13,0.21,23
"jamalballs45
BFG",15,1.00,0.33,0.33,15
"tixx
JJH",42,1.17,0.26,0.07,30
"Yotaa
AKR",56,1.07,0.23,0.29,21
"Meow16K
GEX",13,0.69,0.31,0.00,9
"drn
ZIK",16,0.63,0.81,0.00,10
"NoMiss
buch",35,1.00,0.40,0.11,24
Azu,20,1.15,0.15,0.35,23
"Dinxx
WVU",40,1.03,0.18,0.35,21
"haint
OPY",24,1.00,0.29,0.08,24
puffy panda,17,1.00,0.35,0.00,17
"wackie
DSY",73,1.00,0.37,0.15,24
"Ksiaze
SC",72,1.18,0.14,0.25,42
"Battison
OE",21,1.10,0.14,0.14,23
sirius,23,1.04,0.30,0.13,24
"gbz
FAKE",24,1.17,0.29,0.08,28
"sawamura
RRQ.K",72,1.06,0.15,0.19,21
"waved
LOUD.GC",68,1.09,0.18,0.24,23
"vangaaa
NXT",22,0.95,0.50,0.05,21
"Ds
FXL",14,0.93,0.43,0.14,13
"Yukine
Red",17,0.94,0.35,0.06,16
julia,40,0.85,0.48,0.10,20
BabyHao,21,1.10,0.43,0.10,23
"marky
OAS",16,0.94,0.31,0.13,15
Buñuelita,57,1.14,0.11,0.18,24
"Twisted
Unju",21,1.05,0.10,0.05,22
"kumi
ZMM.B",102,1.03,0.16,0.22,28
"Akita
CG.GC",108,1.15,0.27,0.18,30
"JSUNG
TG",22,0.95,0.77,0.05,21
demek,108,1.06,0.10,0.23,26
"sickrey
R8",65,0.85,0.17,0.06,20
Avu,23,1.04,0.61,0.22,24
"Wildfire
NBG",42,0.88,0.57,0.10,19
"Hanuh
THE.K",32,1.19,0.09,0.16,21
"SteMpy
NiL",19,0.79,0.89,0.16,15
"eyan
LR",30,1.17,0.20,0.20,35
"AtaKaptan
FUT",20,0.85,0.55,0.10,17
"Snaptor
BFG",15,0.67,0.80,0.00,10
"truk
Cliq",20,1.15,0.30,0.15,23
"Breinholt
BFG",15,0.87,0.47,0.07,13
"KenzmPs
FXL",14,0.93,0.14,0.14,13
colby,20,1.10,0.15,0.00,22
"dos9
RVNT",92,1.05,0.21,0.24,32
"M1kE
EDGE",18,0.89,0.33,0.06,16
"mecq
CX",18,0.83,0.67,0.17,15
"shyz
KRÜ.B",34,0.85,0.24,0.06,15
"Only1
T1A",57,1.05,0.21,0.09,21
TORONTO,38,1.18,0.18,0.26,23
"Ziad
INST",23,1.13,0.09,0.30,26
Kero,22,0.95,0.23,0.09,21
reptile,41,1.05,0.29,0.15,27
"Zap
2G",24,1.00,0.21,0.08,24
"speq
CGC",17,1.12,0.35,0.12,19
"Techno
TRS",24,1.00,0.46,0.04,24
"AL7B
XO",22,1.14,0.23,0.18,25
"Natasha
CARA",84,0.96,0.20,0.08,26
"klaudia
O1O",71,0.86,0.76,0.15,22
"apple
Arch",33,0.91,0.21,0.06,20
"toozy
VZ",91,0.90,0.37,0.08,21
"Flashback
DRX",21,1.00,0.14,0.10,21
"Shyfty
AREA",19,1.11,0.11,0.11,21
"MKII
EDGE",18,1.06,0.11,0.22,19
"Yassien
RAAD",17,0.88,0.76,0.18,15
"v1c
MxS",40,0.98,0.43,0.13,21
"FullMoon
Mete",29,0.93,0.31,0.14,14
"alyaL
FPT",34,1.06,0.18,0.12,22
"dip
VZ",83,0.90,0.45,0.04,29
"Addi
KARM",23,1.17,0.30,0.30,27
"heat
KRÜ",42,0.95,0.36,0.10,22
"Inumo
VCTRY",20,0.75,0.20,0.05,15
"STOP THE VOICES
UAFS",22,1.32,0.18,0.27,29
"RieNs
TH",39,1.03,0.46,0.21,22
"DisisJohn
FKS",41,0.98,0.07,0.22,24
"elfie
MKS",30,1.13,0.27,0.13,34
"Paradox
RVNT",92,0.85,0.43,0.08,25
Nirvana,72,0.97,0.25,0.31,20
"Miku
FSX",79,1.16,0.14,0.29,31
"BerserX
BME",34,0.88,0.32,0.06,30
"mandy
mand",16,1.00,0.25,0.19,16
"cavern
MOBAP",144,0.92,0.31,0.06,33
"BánhMj
RLF",33,1.03,0.33,0.09,18
B1n,19,0.95,0.42,0.11,18
"maxxy
Next",20,0.95,0.20,0.05,19
"Angela
SAVA",49,1.06,0.22,0.24,30
"Teerapong
NKT",48,1.00,0.40,0.04,28
"GaryDaSnail
YDZ",43,1.00,0.21,0.07,23
"Xaline
Huge",16,0.94,0.44,0.25,15
"NoHelp
SKUL",36,0.92,0.17,0.08,18
"Scarlett
GMX.L",105,0.91,0.11,0.22,24
"Cinjvv
MGLZ",17,0.94,0.24,0.12,16
"JSP
NBG",23,1.04,0.04,0.43,24
"f4ngeer
tras",80,0.99,0.13,0.25,29
Bad,17,0.94,0.18,0.06,16
"JohN
RyZ",37,0.76,0.14,0.00,16
"tok1o
Sduf",111,0.96,0.15,0.15,27
"RAMZES999
WTP",17,1.00,0.18,0.12,17
azaziN,19,0.89,0.11,0.16,17
"Jar
Team",21,0.86,0.24,0.10,18
"SharpyGG
Skel",20,1.20,0.20,0.15,24
"evv
YFP",104,1.00,0.29,0.11,27
not at all,23,1.09,0.26,0.17,25
"Jlerst
GAL",21,0.95,0.05,0.14,20
"Flash
Crim",21,0.76,0.48,0.05,16
"KiRi
GEX",13,0.46,0.31,0.08,6
"Demiurge
MZP",61,1.00,0.21,0.21,22
"Skairipa
BLZE",57,0.93,0.33,0.19,20
madness,20,0.95,0.50,0.00,19
"Milooo
RLF",33,0.88,0.27,0.09,16
"NamGoku
Cybe",21,1.00,0.24,0.24,21
lover,40,1.03,0.10,0.13,27
"Autumn
FPX",110,0.83,0.20,0.29,25
"Mel
MIBR",82,0.79,0.20,0.09,18
"DESTRUCT1VEE
GAL",21,0.95,0.29,0.14,20
Bonfire,20,1.00,0.20,0.20,20
"Muffyn
FSS",43,1.05,0.30,0.26,25
"Akai
FLC",136,1.10,0.16,0.21,43
"Luid
SPRT",21,0.95,0.24,0.05,20
"Joudaa
GMX.L",32,0.81,0.09,0.09,17
"XXiF
QOR",59,0.90,0.12,0.14,21
"pvS
Mani",53,0.94,0.21,0.19,22
"neT
G2",45,1.02,0.20,0.11,25
"q1ta
TEAR",44,0.91,0.34,0.11,21
"Obnoks
MOUZ",26,0.92,0.46,0.15,24
"iluri
MOUZ",26,0.88,0.35,0.08,23
Caazzaa,19,0.74,0.32,0.05,14
atlas,24,0.88,0.29,0.08,21
"yetujey
FUT",20,0.70,0.25,0.10,14
"corey
TTR",65,0.94,0.54,0.09,30
"sayuri
MIBR",82,0.77,0.41,0.05,15
"DREAM
CG.GC",108,0.85,0.38,0.06,29
"baddyG
ACE",37,0.78,0.49,0.14,17
kaori,20,0.80,0.20,0.05,16
"splash
NXGA",40,1.10,0.25,0.25,30
"BlanK
Roch",18,0.89,0.44,0.11,16
"S1ay3rr
SFU",83,0.90,0.65,0.10,18
"Cain
Torc",140,0.81,0.45,0.06,19
"TiduS
AKR",56,0.79,0.32,0.04,18
"zeldris
QOR",59,1.03,0.12,0.29,23
ume,23,0.83,0.22,0.13,19
"nyczu
Z10",36,0.81,0.53,0.03,21
chommz,59,0.93,0.34,0.12,23
"szoren
GENK",43,0.86,0.53,0.05,19
takeo,24,1.00,0.04,0.17,24
"Cendary
DEWA.B",49,0.96,0.39,0.16,26
"dgzin
HERO",105,1.08,0.11,0.23,27
"david
9z",60,1.05,0.23,0.12,35
"maryna
YFP",50,0.72,0.34,0.12,15
"Marti
NSR.I",43,0.98,0.14,0.12,21
Gon,18,1.11,0.11,0.00,20
jcey,22,1.14,0.14,0.18,25
"phaze
RAAD",17,0.65,0.18,0.06,11
"iZu
T1",56,0.86,0.21,0.14,26
"mili
RF.GC",61,1.13,0.08,0.26,27
Kolosha,49,1.04,0.29,0.10,30
mocatito,20,1.15,0.25,0.15,23
ANNYEON,62,0.89,0.34,0.10,20
"Faceroll
VENI",39,0.90,0.21,0.08,19
"SHINSEI
KZ",43,1.00,0.16,0.23,26
Shifty,23,1.00,0.35,0.04,23
"Pie
Colo",109,0.75,0.47,0.04,24
"lexa
TWIS.O",81,0.88,0.26,0.10,23
"sym
TSM",106,1.00,0.16,0.23,24
Heather,55,0.93,0.27,0.09,19
"Jas
Neon",21,0.81,0.33,0.00,17
"snw
RETA",45,1.04,0.09,0.29,28
"Less
LOUD",68,1.00,0.26,0.09,25
"jake
CSP",117,1.00,0.12,0.18,29
"Blessed
FOC",23,0.87,0.22,0.13,20
"SwayZ
TOR",102,1.04,0.13,0.25,28
"Melvin
UCSD",68,1.01,0.18,0.15,31
"Shazeon
DIV",23,0.96,0.39,0.09,22
Vlad,19,1.05,0.32,0.05,20
"Complexit
buch",16,0.69,0.19,0.19,11
"alvin
Burg",148,1.00,0.22,0.21,29
"LeVi
MLT",26,0.88,0.15,0.04,23
dummy,20,1.00,0.35,0.10,20
"NoXuS
SKUL",36,1.03,0.14,0.17,22
ylill,35,0.86,0.29,0.17,19
"mmonch
AKV.GC",28,0.96,0.32,0.00,27
"Posters
Aspi",18,1.00,0.50,0.06,18
Duuuda,19,0.79,0.32,0.00,15
xKittyx,21,0.95,0.24,0.24,20
"Martux
BFG",15,0.93,0.27,0.13,14
Hori,20,1.00,0.05,0.10,20
"coalZ
UC.Fem",37,0.95,0.14,0.11,20
"kiNgg
LEV",38,0.74,0.58,0.05,17
"Mercure
ZER",38,1.18,0.37,0.18,27
"Merununtius
Mete",29,0.86,0.48,0.00,13
"Thuy
ZER.M",43,0.79,0.40,0.09,18
"kyi
LDR",20,1.05,0.25,0.15,21
Gutti,22,0.86,0.32,0.09,19
"swarm
CU.V",198,1.03,0.16,0.26,27
Fw,63,0.90,0.40,0.03,23
icee,42,0.83,0.33,0.12,23
"Kajuks
B8",20,0.95,0.30,0.15,19
joko,42,0.98,0.12,0.14,21
"PapaSmurf
VEXO",30,0.97,0.30,0.07,29
"coconut
OF",23,0.96,0.09,0.00,22
"McKinley
AIC",23,0.74,0.26,0.13,17
"seezy
LAG",44,0.95,0.11,0.23,25
"tryst
OGS",45,1.00,0.16,0.09,23
"PYTH0N
Pred",22,0.68,0.36,0.18,15
cheese,19,0.63,0.37,0.05,12
"k0chilo
REI",19,0.79,0.26,0.16,15
"cNed
FUT",20,1.05,0.20,0.15,21
"trexx
VIT",42,0.81,0.33,0.10,18
Dasani,23,1.04,0.13,0.26,24
"mimi
G2.G",81,0.80,0.41,0.14,21
"Thund3r0us
Hype",18,0.89,0.28,0.11,16
"Ching
1MS",80,0.80,0.30,0.05,21
"Wissite1
AMZ",39,0.74,0.26,0.18,15
"cman
ALE",20,1.20,0.00,0.20,24
"ShawateRR
UG",24,0.96,0.17,0.13,23
"Elite
BBL",36,0.89,0.08,0.06,17
Leen,81,0.96,0.09,0.23,25
"devilasxa
GMX.L",87,0.79,0.36,0.10,30
barto,20,0.70,0.25,0.15,14
"KHS
RESO",57,1.00,0.30,0.09,21
"contii
SHFT",57,0.91,0.23,0.07,27
kzr,53,0.79,0.42,0.08,15
"DubsteP
OAS",16,0.88,0.31,0.25,14
"conir
KRÜ.B",22,0.86,0.41,0.14,19
"Ali
the",166,0.92,0.34,0.11,25
Clewy,220,0.87,0.23,0.09,25
"hiro
SUP",21,0.86,0.33,0.10,18
"Dano
FSX",79,0.71,0.57,0.06,16
"Anva
fuVi",24,0.96,0.13,0.21,23
"mada
MxS",40,0.95,0.05,0.23,23
"ezk
xyz",44,0.95,0.20,0.11,25
"koupert
Pred",28,1.11,0.21,0.07,31
"mina
MIND",24,1.04,0.08,0.17,25
miniboss,40,0.95,0.48,0.13,21
"iyen
HU",41,0.85,0.20,0.02,19
"Ash
LFG",44,0.84,0.11,0.25,19
"florescent
SR",146,0.92,0.22,0.14,24
"zery
DIV",64,0.98,0.36,0.20,25
"Enjoy
IU",53,0.96,0.17,0.30,33
"RiceballiNNN
Red",40,0.88,0.40,0.18,18
"Victor
NRG",83,0.84,0.22,0.13,24
"bless
YDZ.B",138,0.93,0.25,0.13,29
pashalime,20,0.95,0.05,0.30,19
"mads
MDK",24,0.96,0.13,0.17,23
"turkish
timb",21,0.76,0.10,0.10,16
"Nyx
Waff",74,0.93,0.20,0.12,30
jeh,22,1.09,0.09,0.14,24
"panday
YFP",71,0.97,0.18,0.14,23
"Alessia
MDK",24,0.96,0.13,0.08,23
"samed
DIV",23,1.04,0.04,0.30,24
"Sephia
HOWL.M",30,1.00,0.37,0.27,30
"Mueda
CVU.P",18,0.78,0.22,0.11,14
Allyora,22,0.95,0.05,0.23,21
"Mited
EXL",86,0.84,0.22,0.09,21
Flame,38,0.89,0.37,0.11,18
Dizzy,26,0.73,0.31,0.12,19
ngk,26,1.08,0.12,0.15,28
ibeagle,18,0.83,0.33,0.17,15
"punda
ANTC",42,0.86,0.19,0.12,20
"Sayonara
KPI",40,1.08,0.15,0.28,24
"Vera
LZE",133,1.02,0.12,0.25,32
mxnor,49,0.86,0.35,0.08,26
lirowe,26,0.96,0.19,0.23,25
"tuyz
LOUD",68,0.79,0.51,0.01,22
"rAb1q
STPL",30,0.90,0.37,0.03,27
SUPERHVN,31,0.74,0.45,0.03,14
Ramen,37,0.81,0.32,0.05,17
Azia,57,0.88,0.26,0.18,21
"clear
BOB",78,0.95,0.13,0.22,22
"lumieexy
Leva",23,0.91,0.35,0.13,21
"Destrian
VIT",36,0.89,0.39,0.08,18
LisaLisa,16,0.63,0.38,0.13,10
"Kehmicals
TOR",21,0.90,0.29,0.24,19
"rise
WPT",129,0.69,0.63,0.11,19
"NoMan
Nood",46,0.89,0.11,0.26,22
"tex
LEV",38,1.00,0.08,0.16,21
"aiko
Huge",16,0.81,0.25,0.13,13
"Akame
RC",60,1.00,0.23,0.18,39
"peace
TWIS.O",33,0.67,0.61,0.00,13
"skillZ
RVNT",92,0.77,0.21,0.04,23
"isa1
isa",69,0.91,0.14,0.19,23
zadquiel,20,0.90,0.65,0.05,18
"shaz
UC.Fem",37,0.73,0.30,0.03,14
"Thearos
buch",35,0.66,0.34,0.00,13
"soren
Colo",109,0.91,0.18,0.26,29
"Vania
G2.G",81,0.81,0.23,0.15,20
"darkosek
INCO",18,1.11,0.11,0.11,20
"angelka
XL.GC",24,0.79,0.42,0.04,19
"lyla
INF",14,0.57,0.43,0.07,8
"onenineteen
MGLZ",17,1.00,0.29,0.12,17
"benjii
the",166,0.82,0.19,0.07,24
Alucard,44,0.77,0.27,0.09,20
"STYRON
SGP",139,0.88,0.24,0.09,27
"Touven
GGO",111,0.81,0.32,0.05,26
"BuZz
DRX",60,0.95,0.18,0.10,23
"Arctic
CVU.P",42,0.69,0.45,0.07,18
ric,23,1.04,0.17,0.09,24
j1mmy,21,0.86,0.29,0.05,18
"Filu
DSY",73,0.93,0.25,0.16,25
"pa1ka
GMX",41,0.80,0.12,0.02,17
Ravage,22,0.95,0.18,0.14,21
"canefis
OVA",42,0.88,0.29,0.05,19
"MaKo
DRX",60,0.85,0.38,0.07,19
"Padisah
GS",111,0.94,0.17,0.05,28
"d4v41
PRX",23,0.91,0.04,0.04,21
"musashi
ACE",41,0.83,0.46,0.02,18
"Mikelelle
FH",20,0.90,0.60,0.10,18
"Jiex
KPI.S",19,0.95,0.26,0.16,18
"faniehehe
NE",39,0.77,0.28,0.00,16
"ayman
BZE",55,1.00,0.15,0.20,27
"Buffala
6K.Fem",65,0.86,0.32,0.12,25
jinjin,57,0.89,0.23,0.14,21
"wayne
DSG",80,0.80,0.19,0.09,17
"shenitt
X1E",18,0.72,0.67,0.17,13
"Russ
GE",26,0.81,0.46,0.04,21
"Nairo
buch",35,0.89,0.23,0.34,19
msh,108,0.84,0.19,0.14,23
"safiaa
GnG.W",43,0.77,0.21,0.07,17
"Sp1ke
CG",98,0.95,0.09,0.18,20
Avvix,70,0.79,0.27,0.06,23
"cxta
GR",37,0.92,0.24,0.08,20
"pAura
BBL",36,0.78,0.39,0.19,16
cindy,33,0.88,0.18,0.06,16
"sacred
YFP",124,0.82,0.19,0.07,18
Karsen,26,0.92,0.23,0.15,24
"Angel
OVK",19,0.95,0.32,0.00,18
"Shyy
KRÜ",42,0.64,0.40,0.05,15
Arduino,62,0.79,0.21,0.05,20
"MnFeaR
MGLZ",17,0.71,0.35,0.06,12
"Sayaplayer
T1",56,1.00,0.07,0.23,36
"Izzy
SUP",21,0.95,0.00,0.29,20
"sayoo
GRY",76,0.88,0.25,0.08,26
"NGen
DK",91,0.86,0.25,0.10,23
bread,17,0.82,0.47,0.00,14
"guedeszy
FXL",14,0.57,0.57,0.00,8
"kadiri
ARC",176,0.92,0.14,0.18,30
"WerlasS
REG",23,1.00,0.26,0.13,23
"Fizzy
MOUZ",26,0.85,0.35,0.12,22
"grumble
LZE",118,0.80,0.32,0.10,19
"Jamppi
TL",20,0.80,0.25,0.10,16
"cashmere
THE",55,0.73,0.40,0.09,14
"ardiis
NAVI",56,1.09,0.27,0.20,28
"BALLI
HGE",26,1.00,0.12,0.08,26
"KHaaLiD
FLC",136,0.79,0.30,0.11,22
"pancc
HERO",105,0.85,0.23,0.13,21
"LETHAL
WHO",38,0.84,0.53,0.05,32
o7o7o7,21,0.95,0.14,0.05,20
kenhlong,39,0.77,0.31,0.03,17
"Yoshiii
SZ",57,0.96,0.40,0.19,19
BBC,44,0.91,0.25,0.14,23
"Jeje
GMX.L",19,1.11,0.16,0.32,21
"POISED
TSM",64,0.83,0.36,0.09,21
"ponix
9z.GC",59,0.85,0.20,0.07,20
"unstable
DSG",55,0.89,0.24,0.24,23
"GOATz
OPST",56,1.07,0.20,0.16,31
"bones
YFP",28,0.82,0.39,0.14,23
Sadeem,72,0.83,0.26,0.10,24
"Siduzord
STE",113,0.73,0.28,0.08,32
"Lamperouge
AEE",20,1.05,0.20,0.15,21
idkman,99,0.97,0.12,0.14,29
"prince
TBK",131,0.80,0.33,0.11,23
"Reality
SPE",46,0.83,0.22,0.20,22
"jduh
O1O",86,0.72,0.34,0.02,22
Sanliujiujiujiu,46,0.74,0.30,0.04,17
"Myth
FOC",23,0.70,0.39,0.04,16
"Korsonix
TOR",114,0.79,0.18,0.06,24
Night,23,0.91,0.48,0.13,21
"lenka
ZER.M",43,1.09,0.21,0.05,29
"ianto
RUD",43,0.93,0.21,0.26,23
"Alu
LR",30,0.90,0.23,0.13,27
"ALIVE
ACE",59,0.90,0.20,0.17,19
"dynamic
TOR",17,0.94,0.12,0.12,16
"d3ffo
VLNT",61,0.89,0.25,0.23,22
"EJAY
VAL",75,0.93,0.15,0.17,21
AlMtRoOo3,22,0.82,0.23,0.14,18
"Sand
EGYPT",17,0.71,0.35,0.12,12
"Melser
KRÜ",42,0.69,0.33,0.05,17
Truman,81,0.78,0.32,0.07,24
"Klaus
KRÜ",42,0.74,0.31,0.19,18
"stonezy
325",41,0.95,0.15,0.22,24
"Dogo
SaD",146,0.86,0.24,0.05,25
"AleDa
Tama",50,0.74,0.26,0.10,19
"nihggo
VENI",39,0.72,0.44,0.15,15
"tom1e
NXS",40,0.78,0.33,0.10,18
"SpYzera
FLC",136,0.72,0.59,0.07,26
"bucher
SGE",56,0.91,0.13,0.04,21
"nataNk
M8",36,0.94,0.17,0.19,18
"Sayf
VIT",78,0.88,0.23,0.17,28
"Lightningfast
GE",26,0.85,0.42,0.08,22
"Shondex
Fish",63,0.78,0.17,0.10,21
"Owen q t
GLAB",117,0.84,0.36,0.10,27
"FETA
AIC",23,0.78,0.17,0.09,18
ju1ce,38,0.74,0.29,0.08,21
"molp
RIMA",20,0.60,0.15,0.10,12
"illumi
ANTC",26,1.04,0.19,0.23,27
