,,RND,KPR,APR,FKPR,KMAX
antG,ascent_stats,13,1.23,0.54,0.00,16
antG,bind_stats,81,0.91,0.31,0.10,20
antG,breeze_stats,68,0.75,0.32,0.07,15
antG,icebox_stats,94,0.85,0.31,0.11,20
antG,lotus_stats,80,1.03,0.23,0.11,23
antG,split_stats,13,1.00,0.54,0.08,13
antG,sunset_stats,57,0.74,0.49,0.02,16
dynamic,ascent_stats,13,1.69,0.08,0.38,22
dynamic,breeze_stats,17,0.94,0.12,0.12,16
dynamic,icebox_stats,42,0.69,0.21,0.12,16
dynamic,split_stats,14,0.36,0.43,0.07,5
dynamic,sunset_stats,46,0.52,0.30,0.04,12
Chax,ascent_stats,14,1.64,0.64,0.14,23
Chax,icebox_stats,34,0.88,0.21,0.15,30
Chax,lotus_stats,58,0.60,0.36,0.12,14
Chax,split_stats,41,0.49,0.37,0.05,16
Chax,sunset_stats,20,1.05,0.15,0.20,21
Carlee,ascent_stats,15,1.13,0.47,0.13,17
Carlee,bind_stats,37,0.76,0.14,0.11,17
Carlee,icebox_stats,50,0.96,0.38,0.14,22
SUMM3R,ascent_stats,15,1.47,0.07,0.07,22
SUMM3R,bind_stats,19,0.63,0.00,0.11,12
SUMM3R,breeze_stats,40,0.73,0.10,0.10,17
SUMM3R,icebox_stats,37,1.16,0.05,0.14,25
SUMM3R,lotus_stats,15,0.53,0.13,0.00,8
SUMM3R,split_stats,66,0.77,0.15,0.09,19
darm,ascent_stats,16,1.44,0.00,0.13,23
darm,breeze_stats,21,0.67,0.14,0.00,14
darm,lotus_stats,40,0.75,0.10,0.10,15
nirvana,ascent_stats,14,1.29,0.21,0.36,18
nirvana,bind_stats,21,1.14,0.10,0.19,24
aiden,ascent_stats,16,1.31,0.31,0.31,21
aiden,bind_stats,70,1.36,0.24,0.31,37
aiden,lotus_stats,35,0.94,0.20,0.14,20
lissa,ascent_stats,13,1.08,0.15,0.08,14
lissa,bind_stats,81,0.75,0.20,0.05,22
lissa,breeze_stats,68,0.63,0.22,0.12,14
lissa,icebox_stats,94,0.73,0.34,0.11,20
lissa,lotus_stats,80,0.79,0.15,0.15,19
lissa,split_stats,13,1.15,0.23,0.15,15
lissa,sunset_stats,57,0.60,0.18,0.11,15
hello kitty lvr,ascent_stats,14,1.43,0.50,0.14,20
hello kitty lvr,bind_stats,21,1.19,0.14,0.14,25
Hyzee,ascent_stats,18,1.06,0.72,0.06,19
Hyzee,bind_stats,45,1.04,0.27,0.22,27
Hyzee,icebox_stats,22,0.82,0.23,0.05,18
Hyzee,lotus_stats,56,0.63,0.25,0.07,15
Hyzee,sunset_stats,78,0.71,0.42,0.08,18
lua,ascent_stats,20,1.20,0.45,0.15,24
lua,breeze_stats,22,1.27,0.27,0.09,28
lua,icebox_stats,14,0.57,0.14,0.00,8
lua,lotus_stats,14,0.29,0.29,0.00,4
SupahTyTy,ascent_stats,15,1.33,0.67,0.20,20
SupahTyTy,bind_stats,15,0.40,0.20,0.00,6
SupahTyTy,lotus_stats,17,0.65,0.00,0.12,11
SupahTyTy,split_stats,39,0.87,0.51,0.03,17
SupahTyTy,sunset_stats,30,0.70,0.40,0.10,21
mare,ascent_stats,18,1.33,0.11,0.28,24
mare,bind_stats,74,0.66,0.24,0.19,21
mare,breeze_stats,23,0.70,0.09,0.17,16
mare,icebox_stats,96,0.78,0.17,0.20,24
mare,sunset_stats,20,1.10,0.25,0.30,22
pudj,ascent_stats,21,1.14,0.43,0.05,24
pudj,breeze_stats,36,0.64,0.25,0.08,12
pudj,icebox_stats,17,1.00,0.47,0.00,17
pudj,lotus_stats,66,0.70,0.55,0.02,17
pudj,split_stats,22,0.36,0.32,0.00,8
pudj,sunset_stats,43,0.53,0.56,0.00,13
nataNk,ascent_stats,20,1.25,0.30,0.15,25
nataNk,breeze_stats,36,0.94,0.17,0.19,18
nataNk,icebox_stats,37,0.95,0.19,0.24,20
nataNk,lotus_stats,65,0.74,0.22,0.15,24
nataNk,split_stats,19,0.79,0.16,0.05,15
nataNk,sunset_stats,81,0.77,0.20,0.22,23
NiNix,ascent_stats,14,1.29,0.21,0.00,18
NiNix,bind_stats,75,0.71,0.28,0.08,18
NiNix,breeze_stats,44,0.98,0.18,0.07,22
NiNix,icebox_stats,36,0.56,0.19,0.06,15
NiNix,lotus_stats,66,0.59,0.17,0.06,18
NiNix,split_stats,28,0.93,0.43,0.18,26
m4ndzin,ascent_stats,13,1.00,0.62,0.08,13
m4ndzin,bind_stats,81,0.58,0.28,0.07,15
m4ndzin,breeze_stats,68,0.74,0.49,0.04,17
m4ndzin,icebox_stats,94,0.79,0.54,0.06,24
m4ndzin,lotus_stats,80,0.80,0.48,0.08,23
m4ndzin,split_stats,13,0.46,0.77,0.15,6
m4ndzin,sunset_stats,57,0.72,0.33,0.07,22
eluwu,ascent_stats,30,1.23,0.13,0.33,22
eluwu,bind_stats,23,0.87,0.09,0.17,20
eluwu,icebox_stats,40,0.95,0.20,0.25,21
eluwu,lotus_stats,21,1.29,0.19,0.05,27
eluwu,split_stats,37,0.65,0.24,0.05,13
eluwu,sunset_stats,23,0.78,0.13,0.35,18
bonniee,ascent_stats,14,1.36,0.14,0.29,19
bonniee,bind_stats,53,0.70,0.19,0.08,15
bonniee,icebox_stats,36,0.69,0.22,0.06,19
bonniee,lotus_stats,43,0.70,0.07,0.12,16
bonniee,split_stats,28,0.79,0.29,0.11,22
frantastic,ascent_stats,18,1.00,0.50,0.00,18
frantastic,bind_stats,16,0.81,0.19,0.19,13
frantastic,breeze_stats,91,0.62,0.38,0.11,21
frantastic,icebox_stats,28,0.64,0.25,0.04,18
frantastic,lotus_stats,18,0.33,0.22,0.06,6
frantastic,split_stats,59,0.47,0.27,0.07,13
frantastic,sunset_stats,76,0.47,0.36,0.07,13
Tengu,ascent_stats,15,0.87,0.33,0.13,13
Tengu,breeze_stats,21,0.29,0.29,0.00,6
Tengu,icebox_stats,20,0.10,0.15,0.00,2
Tengu,lotus_stats,23,0.74,0.26,0.04,17
Risorah,ascent_stats,20,1.35,0.25,0.10,27
Risorah,bind_stats,87,0.69,0.18,0.10,25
Risorah,breeze_stats,35,0.69,0.40,0.11,12
Risorah,icebox_stats,14,1.57,0.21,0.29,22
Risorah,lotus_stats,57,0.72,0.26,0.05,18
Risorah,split_stats,16,0.63,0.31,0.06,10
Risorah,sunset_stats,53,0.64,0.30,0.15,19
bdog,ascent_stats,36,1.19,0.31,0.36,23
bdog,bind_stats,24,0.67,0.21,0.13,16
bdog,icebox_stats,37,0.57,0.30,0.14,12
bdog,lotus_stats,107,0.72,0.56,0.07,23
bdog,sunset_stats,68,0.66,0.21,0.16,18
Panda,ascent_stats,20,0.80,1.00,0.20,16
Panda,breeze_stats,19,0.74,0.79,0.16,14
Panda,icebox_stats,15,0.40,0.20,0.07,6
Panda,lotus_stats,20,0.70,0.70,0.05,14
Panda,split_stats,22,0.59,0.36,0.14,13
Panda,sunset_stats,14,0.21,0.21,0.00,3
Alfajer,ascent_stats,18,1.33,0.06,0.17,24
Alfajer,bind_stats,42,0.71,0.26,0.00,15
Alfajer,breeze_stats,37,0.59,0.05,0.05,15
Alfajer,icebox_stats,34,0.79,0.12,0.09,18
Alfajer,lotus_stats,126,0.77,0.13,0.12,24
Alfajer,split_stats,61,0.79,0.11,0.18,21
ref,ascent_stats,19,1.26,0.16,0.21,24
ref,breeze_stats,50,0.84,0.08,0.20,24
ref,split_stats,66,0.83,0.23,0.18,22
