Player,RND,KPR,APR,FKPR,KMAX
"nightz
ASTA",14,1.50,0.43,0.43,21
Liminal,19,1.53,0.05,0.32,29
Dae,16,1.25,0.31,0.00,20
"exile
ASTA",14,1.21,0.21,0.14,17
"dodonut
FLY.R",73,1.21,0.30,0.19,27
"JuW
AKV.GC",59,1.15,0.27,0.29,29
"Davidp
3D",16,0.81,0.81,0.06,13
anotherrr,20,1.40,0.10,0.35,28
"JrayN
FB",17,1.12,0.35,0.18,19
"Vangz
NXGA",30,1.03,0.43,0.17,31
"Sephia
HOWL.M",17,1.18,0.24,0.29,20
Sadeem,21,1.19,0.19,0.05,25
"Jremy
TS",19,1.21,0.16,0.32,23
"vibhoRR
MDL",16,0.94,0.56,0.25,15
"LEW
JJH",21,1.19,0.19,0.14,25
"Sinaway
AIC",87,1.08,0.23,0.14,27
"HEMMORJAY
SKUL",18,1.11,0.28,0.28,20
"lexa
TWIS.O",66,1.18,0.14,0.17,30
tbloy,22,1.23,0.14,0.18,27
"Patrui
FB",17,1.18,0.24,0.18,20
"Kohaibi
SMG.GC",55,1.02,0.42,0.13,26
"MARCTYLINHO
DVM",23,0.87,0.43,0.09,20
"999kvmil
B8",22,1.23,0.32,0.05,27
"austifrosti
TAMU",55,0.85,0.36,0.11,26
"Kushay
SaD",42,0.90,0.43,0.14,21
"JoBa
TAMU",55,0.91,0.40,0.11,35
"Felipa
BBL.Q",39,0.92,0.28,0.13,22
exa,26,1.12,0.31,0.08,29
amelist,16,0.81,0.81,0.06,13
"Kalkkuna
STR99",37,1.24,0.32,0.19,24
"toozy
VZ",21,0.86,0.48,0.05,18
"ZmjjKK
EDG",83,1.00,0.31,0.23,30
kodeth,21,1.38,0.24,0.33,29
"Jazzyk1ns
COL",55,1.04,0.36,0.16,23
"prozin
TBK",21,1.10,0.29,0.19,23
"Benkai
GE",24,1.08,0.00,0.04,26
"Nayte
ZER",16,1.06,0.00,0.25,17
1Frog1,42,1.21,0.10,0.24,27
"Annie
O1O",64,1.08,0.14,0.31,28
"Brave
BBL",42,1.00,0.52,0.10,24
"Harshhh
RGES",26,0.92,0.31,0.19,24
"Jello
SCC.A",22,1.00,0.55,0.05,22
"RedKoh
LESS",57,0.88,0.32,0.11,23
