Player,RND,KPR,APR,FKPR,KMAX
"NiSMO
M80",14,1.43,0.71,0.21,20
"LEW
JJH",19,1.53,0.21,0.21,29
"alexiiik
GN",17,1.29,0.18,0.12,22
"edith
YFP",16,1.19,0.06,0.38,19
"Andrehs
AKV.GC",16,1.00,0.56,0.06,16
"mindle
ODK",19,1.16,0.16,0.05,22
"Freyy
Z10",19,1.37,0.11,0.05,26
"Leviathan
FS",19,1.16,0.37,0.16,22
"Acetics
SPE",23,1.22,0.22,0.13,28
"DarkLight
HSMI",17,1.06,0.41,0.06,18
"123
KBLD",19,1.16,0.16,0.26,22
"florescent
SR",107,1.24,0.15,0.20,33
"Loco
tgz",22,0.95,0.77,0.14,21
"Wizdran
CSUF",24,0.96,0.33,0.00,23
"BcJ
M80",14,0.86,0.29,0.07,12
"clear
BOB",36,1.17,0.31,0.33,24
"Kamiyu
XIP",59,1.25,0.42,0.08,28
"Tonbo
FL",23,1.09,0.17,0.17,25
"Wo0t
TH",15,0.73,1.27,0.07,11
"HearthBeat
MZP",17,1.00,0.59,0.00,17
"kaajak
APK",110,1.06,0.26,0.21,23
"luiza
BD.FEM",19,1.00,0.42,0.16,19
"nekoaimer
YFP",22,1.18,0.14,0.23,26
Mali,21,1.33,0.10,0.19,28
"splash
NXGA",24,1.25,0.25,0.29,30
"kellyS
OAS",19,1.37,0.05,0.37,26
DizzyFps,23,0.96,0.13,0.22,22
"PTC
FS",19,0.95,0.42,0.16,18
"Ivy
AKV.GC",16,1.13,0.13,0.25,18
"Japips
OGX",24,1.13,0.13,0.04,27
"alyaL
FPT",37,1.05,0.49,0.08,20
"eXampL
DIV",19,0.89,0.42,0.05,17
"z7eus
TOG",24,1.13,0.17,0.21,27
"STYRON
SGP",52,1.02,0.37,0.10,28
"dods
KRÜ.B",109,0.98,0.39,0.21,28
"silenttt
ELV",34,0.88,0.44,0.06,16
exa,24,1.04,0.46,0.17,25
"zeek
GN",17,0.71,0.18,0.00,12
"Nana
GMX.L",24,1.13,0.33,0.21,27
"SyouTa
FL",73,1.19,0.14,0.30,24
"richie
Thug",19,1.11,0.26,0.11,21
"quantumrino
PMT",36,1.06,0.31,0.14,20
"nitr0
M80",14,0.93,0.57,0.21,13
"Ruxic
FF",23,1.17,0.22,0.13,27
pashab,24,0.96,0.17,0.13,23
"westside
DIA",57,1.00,0.11,0.14,28
"dapr
SEN",44,1.05,0.30,0.14,28
"runi
C9",20,1.00,0.20,0.10,20
Kali9su,19,0.89,0.37,0.16,17
"Vivii
UW.GC",55,1.00,0.22,0.24,24
"Jinboong
SG",52,1.06,0.15,0.23,23
"lux9
ZER",19,1.00,0.32,0.16,19
"madison
Irre",26,1.04,0.23,0.31,27
"dodonut
FLY.R",152,1.03,0.21,0.31,29
"JuW
AKV.GC",16,1.00,0.50,0.13,16
"Anva
fuVi",61,0.97,0.28,0.08,20
"welyy
RyZe",19,1.05,0.32,0.05,20
"YESicaN
FCY",21,0.90,0.67,0.19,19
"Kakarot
ZOL",20,1.00,0.10,0.10,20
"Dreamas
MZP",17,0.94,0.18,0.06,16
"MattyIce
Olym",18,1.33,0.06,0.00,24
"ZesBeeW
END",20,0.95,0.10,0.15,19
"kv7m
UNta",38,0.82,0.47,0.05,16
"Babax
ZER",19,1.00,0.26,0.26,19
"soulcas
APK",110,0.94,0.37,0.14,20
"Palla
puGG",106,1.15,0.17,0.23,32
"ary
ZEN.GC",19,0.95,0.32,0.21,18
"Eso177
OXR",55,1.02,0.20,0.11,21
"L4CE
FLY.R",112,0.85,0.39,0.05,27
"koalanoob
M80",14,0.86,0.36,0.14,12
"mili
RF.GC",59,0.97,0.14,0.12,23
"RxYaL
ONLI",36,0.81,0.31,0.06,18
"Shazeon
DIV",19,1.11,0.21,0.16,21
"conir
KRÜ.B",109,0.81,0.38,0.07,21
1Frog1,24,1.08,0.21,0.21,26
"Kishi
FCY",21,1.00,0.29,0.14,21
"showliana
KRÜ.B",70,0.81,0.59,0.13,23
XyuS,44,1.07,0.11,0.27,27
"f4ngeer
tras",41,1.02,0.32,0.20,26
Biju,23,0.87,0.48,0.04,20
"gRIGUAj
NOVO",34,0.97,0.62,0.03,17
"Dantedeu5
AK",57,1.07,0.19,0.21,24
"TajReX
LDS",47,1.06,0.30,0.15,26
"Kiddo
GMX.L",28,0.75,0.36,0.04,21
"renz
WU",46,0.80,0.39,0.07,23
"GLYPH
MR",21,1.24,0.19,0.05,26
"McKinley
AIC",22,0.86,0.27,0.09,19
"Elite
BBL",68,0.93,0.18,0.09,23
"BeYN
DRX",21,0.76,0.52,0.00,16
"Reta
FLCV",18,0.78,0.44,0.06,14
"JessieVash
TS",77,0.86,0.39,0.09,23
"eva
FLCV",167,0.84,0.34,0.07,28
"Verno
OXG",44,0.80,0.55,0.00,18
patitop,23,1.17,0.04,0.04,27
"GrTw
ELV",34,0.94,0.24,0.18,17
"basbabe
XIA",74,0.80,0.58,0.09,18
"BuLL3T
T69",22,0.95,0.18,0.27,21
"dzii
LESS",91,1.02,0.27,0.11,31
