id,user,ascent_stats,bind_stats,breeze_stats,icebox_stats,lotus_stats,split_stats,sunset_stats
15361,swag,"{'RND': '62', 'KPR': '0.71', 'APR': '0.13', 'FKPR': '0.10', 'KMAX': '16'}","{'RND': '62', 'KPR': '0.58', 'APR': '0.42', 'FKPR': '0.10', 'KMAX': '14'}","{'RND': '105', 'KPR': '0.57', 'APR': '0.23', 'FKPR': '0.06', 'KMAX': '17'}","{'RND': '95', 'KPR': '0.71', 'APR': '0.09', 'FKPR': '0.04', 'KMAX': '32'}","{'RND': '158', 'KPR': '0.65', 'APR': '0.17', 'FKPR': '0.08', 'KMAX': '21'}","{'RND': '62', 'KPR': '0.81', 'APR': '0.18', 'FKPR': '0.13', 'KMAX': '26'}","{'RND': '139', 'KPR': '0.60', 'APR': '0.27', 'FKPR': '0.09', 'KMAX': '19'}"
11105,richzin,"{'RND': '62', 'KPR': '0.69', 'APR': '0.48', 'FKPR': '0.00', 'KMAX': '16'}","{'RND': '62', 'KPR': '0.77', 'APR': '0.32', 'FKPR': '0.05', 'KMAX': '20'}","{'RND': '105', 'KPR': '0.73', 'APR': '0.24', 'FKPR': '0.06', 'KMAX': '18'}","{'RND': '95', 'KPR': '0.66', 'APR': '0.24', 'FKPR': '0.09', 'KMAX': '18'}","{'RND': '158', 'KPR': '0.55', 'APR': '0.35', 'FKPR': '0.08', 'KMAX': '17'}","{'RND': '62', 'KPR': '0.61', 'APR': '0.26', 'FKPR': '0.08', 'KMAX': '15'}","{'RND': '139', 'KPR': '0.71', 'APR': '0.27', 'FKPR': '0.12', 'KMAX': '24'}"
945,drakoNz,"{'RND': '62', 'KPR': '0.73', 'APR': '0.42', 'FKPR': '0.10', 'KMAX': '17'}","{'RND': '62', 'KPR': '0.45', 'APR': '0.18', 'FKPR': '0.06', 'KMAX': '12'}","{'RND': '105', 'KPR': '0.69', 'APR': '0.28', 'FKPR': '0.08', 'KMAX': '21'}","{'RND': '95', 'KPR': '0.78', 'APR': '0.32', 'FKPR': '0.05', 'KMAX': '30'}","{'RND': '158', 'KPR': '0.69', 'APR': '0.35', 'FKPR': '0.09', 'KMAX': '19'}","{'RND': '62', 'KPR': '0.68', 'APR': '0.32', 'FKPR': '0.06', 'KMAX': '20'}","{'RND': '139', 'KPR': '0.65', 'APR': '0.51', 'FKPR': '0.05', 'KMAX': '23'}"
14950,gobera,"{'RND': '62', 'KPR': '1.08', 'APR': '0.13', 'FKPR': '0.24', 'KMAX': '30'}","{'RND': '62', 'KPR': '0.66', 'APR': '0.15', 'FKPR': '0.15', 'KMAX': '15'}","{'RND': '105', 'KPR': '0.81', 'APR': '0.16', 'FKPR': '0.20', 'KMAX': '26'}","{'RND': '95', 'KPR': '0.92', 'APR': '0.15', 'FKPR': '0.17', 'KMAX': '30'}","{'RND': '158', 'KPR': '0.88', 'APR': '0.18', 'FKPR': '0.21', 'KMAX': '26'}","{'RND': '62', 'KPR': '0.71', 'APR': '0.21', 'FKPR': '0.19', 'KMAX': '17'}","{'RND': '139', 'KPR': '0.85', 'APR': '0.20', 'FKPR': '0.15', 'KMAX': '23'}"
36106,skz,"{'RND': '62', 'KPR': '0.56', 'APR': '0.55', 'FKPR': '0.08', 'KMAX': '18'}","{'RND': '62', 'KPR': '0.63', 'APR': '0.24', 'FKPR': '0.06', 'KMAX': '17'}","{'RND': '105', 'KPR': '0.58', 'APR': '0.35', 'FKPR': '0.10', 'KMAX': '19'}","{'RND': '95', 'KPR': '0.44', 'APR': '0.36', 'FKPR': '0.05', 'KMAX': '16'}","{'RND': '158', 'KPR': '0.62', 'APR': '0.28', 'FKPR': '0.08', 'KMAX': '23'}","{'RND': '62', 'KPR': '0.47', 'APR': '0.40', 'FKPR': '0.05', 'KMAX': '15'}","{'RND': '139', 'KPR': '0.80', 'APR': '0.42', 'FKPR': '0.08', 'KMAX': '22'}"
25743,raafa,"{'RND': '42', 'KPR': '0.48', 'APR': '0.40', 'FKPR': '0.02', 'KMAX': '14'}","{'RND': '74', 'KPR': '0.46', 'APR': '0.34', 'FKPR': '0.03', 'KMAX': '14'}","{'RND': '105', 'KPR': '0.65', 'APR': '0.28', 'FKPR': '0.06', 'KMAX': '22'}","{'RND': 0, 'KPR': 0, 'APR': 0, 'FKPR': 0, 'KMAX': 0}","{'RND': '88', 'KPR': '0.65', 'APR': '0.14', 'FKPR': '0.10', 'KMAX': '19'}","{'RND': '141', 'KPR': '0.68', 'APR': '0.29', 'FKPR': '0.07', 'KMAX': '25'}","{'RND': '141', 'KPR': '0.56', 'APR': '0.57', 'FKPR': '0.06', 'KMAX': '15'}"
8873,dgzin,"{'RND': '42', 'KPR': '0.64', 'APR': '0.14', 'FKPR': '0.10', 'KMAX': '19'}","{'RND': '74', 'KPR': '0.95', 'APR': '0.18', 'FKPR': '0.09', 'KMAX': '29'}","{'RND': '105', 'KPR': '1.08', 'APR': '0.11', 'FKPR': '0.23', 'KMAX': '27'}","{'RND': 0, 'KPR': 0, 'APR': 0, 'FKPR': 0, 'KMAX': 0}","{'RND': '88', 'KPR': '0.73', 'APR': '0.15', 'FKPR': '0.13', 'KMAX': '20'}","{'RND': '141', 'KPR': '0.77', 'APR': '0.22', 'FKPR': '0.18', 'KMAX': '21'}","{'RND': '141', 'KPR': '1.04', 'APR': '0.13', 'FKPR': '0.23', 'KMAX': '27'}"
660,pancc,"{'RND': '42', 'KPR': '0.55', 'APR': '0.19', 'FKPR': '0.19', 'KMAX': '12'}","{'RND': '74', 'KPR': '0.57', 'APR': '0.41', 'FKPR': '0.14', 'KMAX': '16'}","{'RND': '105', 'KPR': '0.85', 'APR': '0.23', 'FKPR': '0.13', 'KMAX': '21'}","{'RND': 0, 'KPR': 0, 'APR': 0, 'FKPR': 0, 'KMAX': 0}","{'RND': '88', 'KPR': '0.70', 'APR': '0.22', 'FKPR': '0.15', 'KMAX': '23'}","{'RND': '141', 'KPR': '0.70', 'APR': '0.23', 'FKPR': '0.11', 'KMAX': '23'}","{'RND': '141', 'KPR': '0.79', 'APR': '0.23', 'FKPR': '0.12', 'KMAX': '21'}"
20238,Askia,"{'RND': '42', 'KPR': '0.40', 'APR': '0.36', 'FKPR': '0.02', 'KMAX': '11'}","{'RND': '74', 'KPR': '0.77', 'APR': '0.53', 'FKPR': '0.09', 'KMAX': '19'}","{'RND': '105', 'KPR': '0.58', 'APR': '0.49', 'FKPR': '0.06', 'KMAX': '15'}","{'RND': 0, 'KPR': 0, 'APR': 0, 'FKPR': 0, 'KMAX': 0}","{'RND': '88', 'KPR': '0.52', 'APR': '0.40', 'FKPR': '0.03', 'KMAX': '13'}","{'RND': '141', 'KPR': '0.68', 'APR': '0.38', 'FKPR': '0.06', 'KMAX': '23'}","{'RND': '141', 'KPR': '0.74', 'APR': '0.40', 'FKPR': '0.04', 'KMAX': '22'}"
1581,GuhRVN,"{'RND': '42', 'KPR': '0.79', 'APR': '0.24', 'FKPR': '0.07', 'KMAX': '18'}","{'RND': '74', 'KPR': '0.66', 'APR': '0.31', 'FKPR': '0.09', 'KMAX': '16'}","{'RND': '105', 'KPR': '0.57', 'APR': '0.30', 'FKPR': '0.06', 'KMAX': '15'}","{'RND': 0, 'KPR': 0, 'APR': 0, 'FKPR': 0, 'KMAX': 0}","{'RND': '88', 'KPR': '0.56', 'APR': '0.33', 'FKPR': '0.08', 'KMAX': '20'}","{'RND': '141', 'KPR': '0.64', 'APR': '0.26', 'FKPR': '0.05', 'KMAX': '19'}","{'RND': '141', 'KPR': '0.70', 'APR': '0.34', 'FKPR': '0.13', 'KMAX': '19'}"
