id,user,info.name
4382,sScary,BLEED
772,Zest,BLEED
2361,Retla,BLEED
9152,Deryeon,BLEED
881,yay,BLEED
9800,mindfreak,Paper Rex
7378,Jinggg,Paper Rex
9801,f0rsakeN,Paper Rex
9803,d4v41,Paper Rex
17086,something,Paper Rex
4705,Flex1n,TYLOO
41739,slowly,TYLOO
3547,Ninebody,TYLOO
4771,ICEKING,TYLOO
4773,AAK,TYLOO
7135,hfmi0dzjc9z7,TYLOO
14444,Eren,TYLOO
11218,Yuicaw,Wolves Esports
14125,Spring,Wolves Esports
14441,aluba,Wolves Esports
3020,coldfish,Wolves Esports
871,pl1xx,Wolves Esports
1162,Russ,Global Esports
1743,blaZek1ng,Global Esports
3626,Lightningfast,Global Esports
1839,Polvi,Global Esports
9802,Benkai,Global Esports
993,Medusa,DetonatioN FocusMe
1970,neth,DetonatioN FocusMe
6672,Meiy,DetonatioN FocusMe
21438,SSeeS,DetonatioN FocusMe
6700,Anthem,DetonatioN FocusMe
7857,BerLIN,FunPlus Phoenix
872,Autumn,FunPlus Phoenix
3028,Life,FunPlus Phoenix
19530,AAAAY,FunPlus Phoenix
37489,Lysoar,FunPlus Phoenix
4763,ZiXuan,FunPlus Phoenix
4720,Haodong,EDward Gaming
3520,ZmjjKK,EDward Gaming
3017,nobody,EDward Gaming
29401,Muggle,EDward Gaming
15559,CHICHOO,EDward Gaming
4742,Smoggy,EDward Gaming
3885,valyn,G2 Esports
8402,icy,G2 Esports
15500,trent,G2 Esports
4581,JonahP,G2 Esports
7873,leaf,G2 Esports
13093,jzz,MIBR
8872,mazin,MIBR
5957,artzin,MIBR
5351,RgLMeister,MIBR
651,frz,MIBR
1265,johnqt,Sentinels
9,TenZ,Sentinels
729,Zellsis,Sentinels
4004,zekken,Sentinels
659,Sacy,Sentinels
727,saadhak,LOUD
1575,Quick,LOUD
8447,Less,LOUD
2408,tuyz,LOUD
6193,cauanzin,LOUD
31207,Carpe,T1
4545,Sayaplayer,T1
1129,Rossy,T1
29833,iZu,T1
10816,xccurate,T1
999,Laz,ZETA DIVISION
29840,yuran,ZETA DIVISION
10588,hiroronn,ZETA DIVISION
424,Dep,ZETA DIVISION
6668,SugarZ3ro,ZETA DIVISION
25949,bunt,All Gamers
14431,monk,All Gamers
10821,deLb,All Gamers
4881,Spitfires,All Gamers
3049,sword9,All Gamers
4727,PangH,Nova Esports
4402,o0o0o,Nova Esports
36670,OBONE,Nova Esports
1209,SWERL,Nova Esports
39697,CB,Nova Esports
41054,GuanG,Nova Esports
2334,JessieVash,Team Secret
8504,invy,Team Secret
2333,BORKUM,Team Secret
7405,Jremy,Team Secret
12322,NDG,Team Secret
3977,Crws,Talon Esports
13788,JitBoyS,Talon Esports
23062,Surf,Talon Esports
8137,lenne,Talon Esports
5129,ban,Talon Esports
3980,Governor,Talon Esports
25329,B3ar,Bilibili Gaming
4885,whzy,Bilibili Gaming
40845,Levius,Bilibili Gaming
4774,Knight,Bilibili Gaming
6022,Yosemite,Bilibili Gaming
3021,Biank,Bilibili Gaming
10486,YHchen,JD Gaming
16924,stew,JD Gaming
36415,Viva,JD Gaming
3519,jkuro,JD Gaming
4320,YiHao,JD Gaming
36668,MarT1n,JD Gaming
7870,vanity,Cloud9
7871,Xeppaa,Cloud9
16003,runi,Cloud9
7458,moose,Cloud9
18796,OXY,Cloud9
1671,kon4n,FURIA
939,mwzera,FURIA
8706,havoc,FURIA
1711,Khalil,FURIA
725,nzr,FURIA
11225,Ethan,NRG Esports
4,crashies,NRG Esports
261,Victor,NRG Esports
263,Marved,NRG Esports
26171,Demon1,NRG Esports
4927,NaturE,Evil Geniuses
1533,Derrek,Evil Geniuses
826,supamen,Evil Geniuses
5188,Apoth,Evil Geniuses
3993,jawgemo,Evil Geniuses
4382,sScary,BLEED
772,Zest,BLEED
2361,Retla,BLEED
9152,Deryeon,BLEED
881,yay,BLEED
485,stax,DRX
804,BuZz,DRX
4462,MaKo,DRX
11600,Foxy9,DRX
4678,BeYN,DRX
2489,Munchkin,Gen.G
9196,t3xture,Gen.G
13039,Meteor,Gen.G
773,Lakia,Gen.G
34974,Karon,Gen.G
4871,xffero,Rex Regum Qeon
7764,Lmemore,Rex Regum Qeon
24895,Jemkin,Rex Regum Qeon
25025,Estrella,Rex Regum Qeon
7045,fl1pzjder,Rex Regum Qeon
2610,Klaus,KRÜ Esports
2462,keznit,KRÜ Esports
24007,Shyy,KRÜ Esports
1311,Melser,KRÜ Esports
8673,heat,KRÜ Esports
604,Boostio,100 Thieves
3880,bang,100 Thieves
4147,Cryocells,100 Thieves
