id,user,ascent_stats,bind_stats,icebox_stats,lotus_stats,split_stats,sunset_stats,breeze_stats
4382,sScary,"{'RND': '17', 'KPR': '0.53', 'APR': '0.71', 'FKPR': '0.12', 'KMAX': '9'}","{'RND': '20', 'KPR': '0.75', 'APR': '0.30', 'FKPR': '0.10', 'KMAX': '15'}","{'RND': '37', 'KPR': '0.73', 'APR': '0.22', 'FKPR': '0.08', 'KMAX': '16'}","{'RND': '59', 'KPR': '1.02', 'APR': '0.27', 'FKPR': '0.15', 'KMAX': '26'}","{'RND': '20', 'KPR': '0.80', 'APR': '0.35', 'FKPR': '0.10', 'KMAX': '16'}","{'RND': 0, 'KPR': 0, 'APR': 0, 'FKPR': 0, 'KMAX': 0}","{'RND': 0, 'KPR': 0, 'APR': 0, 'FKPR': 0, 'KMAX': 0}"
772,Zest,"{'RND': '17', 'KPR': '1.41', 'APR': '0.41', 'FKPR': '0.06', 'KMAX': '24'}","{'RND': '20', 'KPR': '0.45', 'APR': '0.15', 'FKPR': '0.00', 'KMAX': '9'}","{'RND': '37', 'KPR': '0.51', 'APR': '0.19', 'FKPR': '0.05', 'KMAX': '10'}","{'RND': '59', 'KPR': '0.39', 'APR': '0.20', 'FKPR': '0.03', 'KMAX': '11'}","{'RND': '20', 'KPR': '0.80', 'APR': '0.25', 'FKPR': '0.10', 'KMAX': '16'}","{'RND': 0, 'KPR': 0, 'APR': 0, 'FKPR': 0, 'KMAX': 0}","{'RND': 0, 'KPR': 0, 'APR': 0, 'FKPR': 0, 'KMAX': 0}"
2361,Retla,"{'RND': '17', 'KPR': '0.47', 'APR': '0.12', 'FKPR': '0.12', 'KMAX': '8'}","{'RND': '20', 'KPR': '0.60', 'APR': '0.20', 'FKPR': '0.15', 'KMAX': '12'}","{'RND': '37', 'KPR': '0.24', 'APR': '0.11', 'FKPR': '0.00', 'KMAX': '7'}","{'RND': '59', 'KPR': '0.54', 'APR': '0.22', 'FKPR': '0.05', 'KMAX': '12'}","{'RND': '20', 'KPR': '0.55', 'APR': '0.25', 'FKPR': '0.00', 'KMAX': '11'}","{'RND': 0, 'KPR': 0, 'APR': 0, 'FKPR': 0, 'KMAX': 0}","{'RND': 0, 'KPR': 0, 'APR': 0, 'FKPR': 0, 'KMAX': 0}"
9152,Deryeon,"{'RND': '17', 'KPR': '0.71', 'APR': '0.65', 'FKPR': '0.24', 'KMAX': '12'}","{'RND': '20', 'KPR': '0.55', 'APR': '0.35', 'FKPR': '0.05', 'KMAX': '11'}","{'RND': '37', 'KPR': '0.62', 'APR': '0.49', 'FKPR': '0.08', 'KMAX': '14'}","{'RND': '59', 'KPR': '0.58', 'APR': '0.14', 'FKPR': '0.07', 'KMAX': '13'}","{'RND': '20', 'KPR': '0.60', 'APR': '0.15', 'FKPR': '0.05', 'KMAX': '12'}","{'RND': 0, 'KPR': 0, 'APR': 0, 'FKPR': 0, 'KMAX': 0}","{'RND': 0, 'KPR': 0, 'APR': 0, 'FKPR': 0, 'KMAX': 0}"
881,yay,"{'RND': '17', 'KPR': '0.88', 'APR': '0.12', 'FKPR': '0.12', 'KMAX': '15'}","{'RND': '20', 'KPR': '0.75', 'APR': '0.05', 'FKPR': '0.20', 'KMAX': '15'}","{'RND': '37', 'KPR': '0.70', 'APR': '0.08', 'FKPR': '0.24', 'KMAX': '14'}","{'RND': '59', 'KPR': '0.59', 'APR': '0.19', 'FKPR': '0.17', 'KMAX': '20'}","{'RND': '20', 'KPR': '0.80', 'APR': '0.15', 'FKPR': '0.20', 'KMAX': '16'}","{'RND': 0, 'KPR': 0, 'APR': 0, 'FKPR': 0, 'KMAX': 0}","{'RND': 0, 'KPR': 0, 'APR': 0, 'FKPR': 0, 'KMAX': 0}"
9800,mindfreak,"{'RND': '69', 'KPR': '0.54', 'APR': '0.20', 'FKPR': '0.01', 'KMAX': '13'}","{'RND': '90', 'KPR': '0.63', 'APR': '0.33', 'FKPR': '0.04', 'KMAX': '18'}","{'RND': '46', 'KPR': '0.54', 'APR': '0.39', 'FKPR': '0.04', 'KMAX': '15'}","{'RND': '137', 'KPR': '0.66', 'APR': '0.34', 'FKPR': '0.03', 'KMAX': '26'}","{'RND': '81', 'KPR': '0.54', 'APR': '0.30', 'FKPR': '0.02', 'KMAX': '17'}","{'RND': '102', 'KPR': '0.76', 'APR': '0.15', 'FKPR': '0.06', 'KMAX': '21'}","{'RND': 0, 'KPR': 0, 'APR': 0, 'FKPR': 0, 'KMAX': 0}"
7378,Jinggg,"{'RND': 0, 'KPR': 0, 'APR': 0, 'FKPR': 0, 'KMAX': 0}","{'RND': '45', 'KPR': '0.80', 'APR': '0.22', 'FKPR': '0.09', 'KMAX': '21'}","{'RND': '46', 'KPR': '0.67', 'APR': '0.28', 'FKPR': '0.04', 'KMAX': '18'}","{'RND': '47', 'KPR': '0.79', 'APR': '0.15', 'FKPR': '0.15', 'KMAX': '19'}","{'RND': 0, 'KPR': 0, 'APR': 0, 'FKPR': 0, 'KMAX': 0}","{'RND': '21', 'KPR': '0.43', 'APR': '0.33', 'FKPR': '0.05', 'KMAX': '9'}","{'RND': 0, 'KPR': 0, 'APR': 0, 'FKPR': 0, 'KMAX': 0}"
9801,f0rsakeN,"{'RND': '69', 'KPR': '0.75', 'APR': '0.41', 'FKPR': '0.12', 'KMAX': '22'}","{'RND': '90', 'KPR': '0.82', 'APR': '0.31', 'FKPR': '0.14', 'KMAX': '22'}","{'RND': '46', 'KPR': '0.80', 'APR': '0.33', 'FKPR': '0.11', 'KMAX': '21'}","{'RND': '137', 'KPR': '0.62', 'APR': '0.23', 'FKPR': '0.08', 'KMAX': '20'}","{'RND': '81', 'KPR': '0.96', 'APR': '0.36', 'FKPR': '0.14', 'KMAX': '25'}","{'RND': '102', 'KPR': '0.72', 'APR': '0.44', 'FKPR': '0.12', 'KMAX': '20'}","{'RND': 0, 'KPR': 0, 'APR': 0, 'FKPR': 0, 'KMAX': 0}"
9803,d4v41,"{'RND': '69', 'KPR': '0.58', 'APR': '0.33', 'FKPR': '0.04', 'KMAX': '19'}","{'RND': '90', 'KPR': '0.66', 'APR': '0.32', 'FKPR': '0.11', 'KMAX': '21'}","{'RND': '46', 'KPR': '0.76', 'APR': '0.07', 'FKPR': '0.11', 'KMAX': '18'}","{'RND': '137', 'KPR': '0.64', 'APR': '0.52', 'FKPR': '0.02', 'KMAX': '25'}","{'RND': '81', 'KPR': '0.64', 'APR': '0.42', 'FKPR': '0.05', 'KMAX': '15'}","{'RND': '102', 'KPR': '0.64', 'APR': '0.42', 'FKPR': '0.07', 'KMAX': '17'}","{'RND': 0, 'KPR': 0, 'APR': 0, 'FKPR': 0, 'KMAX': 0}"
17086,something,"{'RND': '69', 'KPR': '0.72', 'APR': '0.22', 'FKPR': '0.19', 'KMAX': '22'}","{'RND': '90', 'KPR': '0.81', 'APR': '0.14', 'FKPR': '0.13', 'KMAX': '20'}","{'RND': '46', 'KPR': '0.70', 'APR': '0.15', 'FKPR': '0.24', 'KMAX': '19'}","{'RND': '137', 'KPR': '0.85', 'APR': '0.13', 'FKPR': '0.20', 'KMAX': '24'}","{'RND': '81', 'KPR': '0.59', 'APR': '0.23', 'FKPR': '0.11', 'KMAX': '18'}","{'RND': '102', 'KPR': '0.76', 'APR': '0.33', 'FKPR': '0.10', 'KMAX': '22'}","{'RND': 0, 'KPR': 0, 'APR': 0, 'FKPR': 0, 'KMAX': 0}"
