Player,RND,KPR,APR,FKPR,KMAX
"Alexy
XIP",14,1.50,0.21,0.36,21
"kadiri
ARC",16,1.44,0.25,0.13,23
"Kamiyu
XIP",14,0.71,0.86,0.14,10
"Absol
MRSH",14,1.29,0.21,0.43,18
"enerii
XIP",14,1.14,0.43,0.21,16
"poof
dont",16,1.38,0.13,0.31,22
"Agla
Team",16,1.19,0.38,0.50,19
"123
KBLD",21,1.43,0.43,0.24,30
Doenmo,18,1.22,0.28,0.22,22
"zerona
ZMM.B",24,1.46,0.21,0.08,35
"Bunny
F4Q",18,1.11,0.17,0.17,20
"soulcas
APK",22,1.32,0.18,0.32,29
Biju,14,1.07,0.57,0.07,15
"YoZeii
Lyos",22,1.18,0.18,0.05,26
"Lilo
MBH",45,1.18,0.22,0.27,31
"aspas
LEV",17,1.12,0.24,0.18,19
"Ayaka
Team",16,1.25,0.38,0.06,20
"Javelin
LGE",18,1.22,0.33,0.22,22
"mads
MDK",69,1.26,0.16,0.26,40
Laleh,17,1.29,0.41,0.12,22
"Akai
FLC",31,1.29,0.29,0.23,24
"BerserX
BME",19,1.00,0.58,0.11,19
"kamyk
JL",15,1.00,0.33,0.13,15
"Boaster
FNC",18,0.89,0.44,0.06,16
"Cade3k
TS",21,1.14,0.14,0.19,24
"KHaaLiD
FLC",31,0.97,0.48,0.10,16
"Lime
CASE",42,1.10,0.31,0.14,23
"NezhaaPotz
HTN",17,1.41,0.24,0.24,24
"Katsura
ALM",20,1.15,0.65,0.10,23
"prozin
TBK",54,0.96,0.37,0.13,20
"kiNgg
LEV",17,0.94,0.59,0.06,16
"Wo0t
TH",20,1.15,0.25,0.15,23
"ellie
FATE.F",21,1.19,0.29,0.19,25
"catalina
ZEN.GC",16,1.13,0.44,0.06,18
"ary
ZEN.GC",16,1.25,0.31,0.31,20
"Tonbo
FL",14,1.07,0.29,0.29,15
"Xross
NS",17,1.06,0.53,0.18,18
"exile
ASTA",39,1.10,0.13,0.23,25
"yoman
NS",17,1.18,0.18,0.12,20
"xelouz
UNT",26,0.88,0.42,0.00,23
"rkz
CE",46,1.15,0.17,0.07,33
"CHICHOO
EDG",63,0.86,0.46,0.05,23
"NaturE
EG",24,1.00,0.58,0.08,24
"Pkm
NS",17,1.00,0.12,0.12,17
"RedLight
SLT",44,0.91,0.45,0.02,21
"Mazino
LEV",17,1.00,0.47,0.18,17
"Kess
UT",22,1.18,0.18,0.05,26
"jas
JL",15,1.13,0.20,0.40,17
"pdr
IGW",24,1.08,0.29,0.08,26
"Seraph
OXEN",44,0.95,0.25,0.14,24
Leen,42,1.07,0.14,0.24,28
"Jesse
VLNT",39,0.87,0.23,0.08,20
"raafa
HERO",19,0.74,0.32,0.00,14
"RYRY
ARC",16,0.88,0.38,0.13,14
drz,23,1.09,0.22,0.09,25
"Tag
DSY",41,0.93,0.46,0.10,20
"SpYzera
FLC",31,0.94,0.39,0.13,17
"Vims
Wook",15,0.53,0.27,0.07,8
bobae,19,1.11,0.11,0.16,21
"Avez
NASR",41,1.00,0.41,0.12,27
"Haodong
EDG",63,0.70,0.30,0.14,19
"Vitie
Uzhi",42,1.05,0.52,0.14,24
"Tara
XIP",14,0.64,0.93,0.00,9
"Caim
IGW",24,0.88,0.21,0.21,21
Misaya,20,0.90,0.65,0.30,18
"bucher
SGE",21,1.19,0.14,0.14,25
"Mercure
ZER",22,0.82,0.36,0.09,18
"Bobovo
IluZ",19,1.05,0.05,0.05,20
"Fizzy
MOUZ",45,0.80,0.20,0.09,26
"Yuta
CG",38,1.03,0.37,0.21,23
"Jinboong
SG",20,1.15,0.15,0.15,23
"zeek
GN",71,0.86,0.44,0.06,17
"romily
KRÜ.B",40,0.88,0.30,0.05,18
"JitBoyS
TLN",43,0.84,0.49,0.09,20
"kumi
ZMM.B",45,1.07,0.49,0.08,26
"Minny
GN",71,0.96,0.24,0.11,22
"LeoZ
N5R",22,1.00,0.59,0.14,22
"alexiiik
GN",71,0.96,0.27,0.21,25
"NAMI
LR",23,1.04,0.26,0.09,24
"shirazi
XIP",14,0.79,0.36,0.21,11
"PowerPixele
PP",68,0.87,0.47,0.13,18
"Alfajer
FNC",18,0.83,0.56,0.00,15
BBC,19,0.84,0.74,0.11,16
"Askia
HERO",19,1.00,0.63,0.16,19
"Noia
SR",24,0.88,0.13,0.08,21
"Cunha20
SAW",43,0.81,0.56,0.12,20
"ZK
MU",22,0.91,0.23,0.05,20
"Atisca
BSCT",17,0.94,0.18,0.24,16
"Morgan
BSCT",17,0.82,0.18,0.06,14
"woody
ARF",40,0.95,0.28,0.08,21
"Yohpa
CG",16,1.06,0.25,0.31,17
"Tyler
OP",23,1.00,0.26,0.17,23
"Famouz
BME",19,1.05,0.11,0.42,20
PeterBarker,18,1.17,0.39,0.28,21
"Joudaa
GMX.L",24,0.92,0.38,0.25,22
"Haimerej
AIM",21,0.95,0.33,0.10,20
"MAGiK
JL",15,1.00,0.13,0.07,15
Bugsy,68,0.94,0.41,0.12,22
"isa1
isa",24,0.96,0.17,0.25,23
"deminatiX
IW",45,0.91,0.13,0.27,21
"may
FATE.F",16,0.75,0.44,0.13,12
"BuZz
DRX",42,0.88,0.24,0.19,25
Chintu,21,0.90,0.52,0.14,19
"GatsH
CASE",42,0.83,0.38,0.10,18
Hansia,19,0.89,0.32,0.05,17
"L1NK
UCAM",58,0.97,0.28,0.07,36
