Player,RND,KPR,APR,FKPR,KMAX
grahams,24,1.42,0.17,0.13,34
"jowa
TM",16,1.13,0.75,0.13,18
"soulcas
APK",19,1.21,0.89,0.05,23
Mihlog,16,1.44,0.06,0.31,23
"iZu
T1",22,1.18,0.14,0.23,26
"ezk
xyz",20,1.25,0.15,0.20,25
"MiniBoo
TH",39,1.18,0.21,0.23,24
"mada
MxS",18,1.28,0.00,0.28,23
"Milooo
RLF",16,1.00,0.44,0.06,16
"dods
KRÜ.B",22,1.18,0.14,0.23,26
"Jelly
MIBR",38,1.24,0.47,0.13,25
"Buffala
6K.Fem",22,1.14,0.18,0.18,25
"aspas
LEV",19,1.21,0.00,0.16,23
"signed
JJH",23,1.00,0.39,0.09,23
DWX,20,1.05,0.15,0.15,21
"Kiuuuu
LGD",23,1.26,0.17,0.13,29
"Sato
GLRS",40,1.15,0.13,0.10,25
"heat
KRÜ",20,1.10,0.55,0.10,22
"romia
FL.GC",17,1.12,0.29,0.24,19
"Curumi
FL.GC",17,1.29,0.29,0.12,22
"wackie
DSY",53,1.06,0.28,0.17,24
"dos9
RVNT",28,1.14,0.32,0.21,32
Arduino,39,1.00,0.26,0.05,20
"hype
APK",19,1.16,0.21,0.11,22
Alucard,20,1.00,0.20,0.15,20
"Dinxx
WVU",19,1.11,0.16,0.47,21
"Ash
LFG",16,1.19,0.00,0.38,19
"poof
dont",51,1.22,0.10,0.16,43
"Oderus
MxS",18,0.83,0.17,0.11,15
Azu,20,1.15,0.15,0.35,23
"Vera
LZE",82,1.18,0.13,0.26,32
"haint
OPY",24,1.00,0.29,0.08,24
"Sayonara
KPI",19,1.26,0.16,0.21,24
"Jinboong
SG",28,1.00,0.25,0.25,28
"benjii
the",16,1.00,0.25,0.06,16
"BánhMj
RLF",16,1.00,0.50,0.06,16
"Sayf
VIT",42,1.12,0.29,0.19,28
"tokameite
KPI.S",34,1.15,0.38,0.09,39
"Rebo
ROSE",21,1.05,0.19,0.14,22
"sickrey
R8",65,0.85,0.17,0.06,20
"AtaKaptan
FUT",20,0.85,0.55,0.10,17
"Mephisto
6K",47,1.13,0.15,0.15,35
"Nythan
ARF",18,1.00,0.61,0.22,18
"LBY
RGES",28,0.96,0.14,0.11,27
"Moves
LFG",16,1.06,0.25,0.13,17
"Zap
2G",24,1.00,0.21,0.08,24
"Ziad
INST",23,1.13,0.09,0.30,26
"Poly
FSS",21,1.05,0.29,0.10,22
"toozy
VZ",16,0.88,0.44,0.13,14
"Techno
TRS",24,1.00,0.46,0.04,24
"Inumo
VCTRY",20,0.75,0.20,0.05,15
"Sunday
LFG",16,0.81,0.25,0.00,13
"dip
VZ",16,0.56,0.94,0.00,9
ANNYEON,39,0.90,0.38,0.10,18
"alyaL
FPT",34,1.06,0.18,0.12,22
"Teerapong
NKT",48,1.00,0.40,0.04,28
"RieNs
TH",39,1.03,0.46,0.21,22
"BerserX
BME",34,0.88,0.32,0.06,30
"elfie
MKS",30,1.13,0.27,0.13,34
"JSP
NBG",23,1.04,0.04,0.43,24
"tex
LEV",19,1.11,0.00,0.21,21
"ri4d
BLX",23,1.04,0.04,0.26,24
"dimaxx
FUZO",19,0.89,0.42,0.05,17
"Shyy
KRÜ",20,0.75,0.35,0.05,15
"v1c
MxS",18,1.00,0.33,0.17,18
"Jlerst
GAL",21,0.95,0.05,0.14,20
"Cain
Torc",38,0.89,0.26,0.05,19
"DESTRUCT1VEE
GAL",21,0.95,0.29,0.14,20
"Autumn
FPX",93,0.83,0.23,0.29,25
"kaho
SFU.P",38,1.13,0.16,0.24,22
"Kylee
ARF",18,1.06,0.00,0.00,19
"yetujey
FUT",20,0.70,0.25,0.10,14
"Obnoks
MOUZ",26,0.92,0.46,0.15,24
"iluri
MOUZ",26,0.88,0.35,0.08,23
"neT
G2",45,1.02,0.20,0.11,25
"DREAM
CG.GC",30,0.97,0.40,0.10,29
"david
9z",60,1.05,0.23,0.12,35
"Akai
FLC",116,1.06,0.17,0.19,43
"S1ay3rr
SFU",38,0.87,0.79,0.08,17
Kolosha,49,1.04,0.29,0.10,30
"Paradox
RVNT",28,0.89,0.54,0.07,25
mocatito,20,1.15,0.25,0.15,23
"Less
LOUD",68,1.00,0.26,0.09,25
"Blessed
FOC",23,0.87,0.22,0.13,20
"mmonch
AKV.GC",28,0.96,0.32,0.00,27
Hori,20,1.00,0.05,0.10,20
"Muffyn
FSS",21,0.95,0.33,0.24,20
"Faceroll
VENI",20,0.80,0.20,0.00,16
"6ix
Sila",24,0.96,0.21,0.13,23
"sacred
YFP",38,0.82,0.21,0.05,18
"tryst
OGS",45,1.00,0.16,0.09,23
"coconut
OF",23,0.96,0.09,0.00,22
"McKinley
AIC",23,0.74,0.26,0.13,17
"Enjoy
IU",30,1.10,0.13,0.27,33
"cNed
FUT",20,1.05,0.20,0.15,21
"Tag
DSY",53,0.83,0.34,0.11,18
"mimi
G2.G",81,0.80,0.41,0.14,21
"TiduS
AKR",23,0.78,0.26,0.04,18
"ShawateRR
UG",24,0.96,0.17,0.13,23
"trexx
VIT",42,0.81,0.33,0.10,18
"Glenn
Siko",22,0.86,0.50,0.14,19
"baddyG
ACE",19,0.63,0.63,0.21,12
"Anva
fuVi",24,0.96,0.13,0.21,23
"sym
TSM",64,0.97,0.19,0.19,24
"soren
Colo",95,0.94,0.18,0.26,29
"conir
KRÜ.B",22,0.86,0.41,0.14,19
pashalime,20,0.95,0.05,0.30,19
"NoMan
EQZ",22,1.00,0.14,0.27,22
"Natasha
CARA",50,0.94,0.20,0.06,26
"keznit
KRÜ",20,0.95,0.00,0.15,19
"Padisah
GS",47,0.96,0.19,0.02,25
"Victor
NRG",60,0.87,0.18,0.12,24
"d3ffo
VLNT",43,0.93,0.26,0.21,22
"Mel
MIBR",38,0.87,0.11,0.08,18
"tuyz
LOUD",68,0.79,0.51,0.01,22
"Siduzord
STE",91,0.80,0.22,0.09,32
"Kaoticcc
SaD",38,0.92,0.13,0.16,20
Dizzy,26,0.73,0.31,0.12,19
ngk,26,1.08,0.12,0.15,28
"rAb1q
STPL",30,0.90,0.37,0.03,27
"fl1pzjder
RRQ",23,1.00,0.22,0.09,23
"darkosek
INCO",18,1.11,0.11,0.11,20
"Reita
MRSH",28,0.89,0.18,0.14,25
"Akame
RC",60,1.00,0.23,0.18,39
"Vania
G2.G",81,0.81,0.23,0.15,20
"grumble
LZE",82,0.80,0.35,0.09,19
"Mikelelle
EYG",20,0.90,0.60,0.10,18
"musashi
ACE",41,0.83,0.46,0.02,18
"Liz
6K.Fem",22,0.82,0.14,0.27,18
"SecondLove
APH",40,0.78,0.25,0.05,16
"sayoo
GRY",24,0.83,0.21,0.08,20
"Matt
Burg",19,0.79,0.42,0.00,15
"Demiurge
MZP",23,0.96,0.17,0.22,22
"klaudia
O1O",24,0.92,0.75,0.17,22
"wayne
DSG",80,0.80,0.19,0.09,17
"devilasxa
GMX.L",34,0.88,0.38,0.09,30
"Marved
NRG",60,0.78,0.27,0.10,21
"murizzz
RETA",22,0.82,0.18,0.14,18
"Russ
GE",26,0.81,0.46,0.04,21
"fluxxy
O1O",24,0.83,0.21,0.08,20
"Fizzy
MOUZ",26,0.85,0.35,0.12,22
"Near
UNT",59,0.80,0.22,0.14,18
"sayuri
MIBR",38,0.61,0.47,0.00,15
"Touven
GGO",47,0.89,0.26,0.06,26
"Insider
KPI",19,0.89,0.37,0.16,17
"LETHAL
WHO",38,0.84,0.53,0.05,32
"Hitch
ESC",23,0.78,0.52,0.00,18
"POISED
TSM",64,0.83,0.36,0.09,21
"ponix
9z.GC",59,0.85,0.20,0.07,20
"delz1k
RETA",22,0.77,0.23,0.00,17
"prince
TBK",109,0.82,0.35,0.09,23
"Myth
FOC",23,0.70,0.39,0.04,16
"Feniz
EXL",22,0.73,0.14,0.09,16
"dzii
LESS",82,0.79,0.32,0.06,21
"gatorada
SG",28,0.89,0.39,0.11,25
"FETA
AIC",23,0.78,0.17,0.09,18
"Lightningfast
GE",26,0.85,0.42,0.08,22
"Pie
Colo",95,0.69,0.47,0.03,24
"tokyo
ROSE",21,0.95,0.19,0.29,20
"neth
DFM",22,0.86,0.36,0.05,19
"cgrs
MITH",30,0.93,0.30,0.10,28
"JayH
DSG",80,0.85,0.35,0.06,20
