Player,RND,KPR,APR,FKPR,KMAX
"bee
CTRL",14,1.57,0.21,0.43,22
"v1c
MxS",15,1.40,0.20,0.20,21
KhenZy,17,1.24,0.29,0.35,21
"neptuNo
RBT",21,1.24,0.19,0.10,26
"Jlerst
GAL",21,1.48,0.24,0.14,31
"Thuy
ZER.M",21,1.24,0.24,0.19,26
"leaf
G2",37,1.14,0.24,0.19,28
"Sylva
XL.GC",14,1.00,0.71,0.00,14
"penny
G2",19,1.26,0.26,0.26,24
"bipo
NOVO",16,1.31,0.13,0.31,21
"w0zzip
FF",19,1.00,0.53,0.16,19
"Kyujinn
HTN",19,1.00,0.16,0.16,19
Oly,24,1.04,0.38,0.08,25
"kamyk
JL",21,1.19,0.10,0.10,25
BayPopper,19,1.11,0.11,0.11,21
"Dantedeu5
AK",24,1.13,0.08,0.17,27
"Kaah
Team",18,1.33,0.11,0.17,24
"emp404
EVOP",20,1.10,0.30,0.10,22
"florescent
SR",74,1.19,0.18,0.15,29
"suther
RETA",17,0.94,0.29,0.12,16
"Feeqn
OF",40,1.13,0.28,0.10,23
"Lmemore
RRQ",44,1.05,0.23,0.11,30
"icy
BNDT",19,1.11,0.11,0.16,21
"shirazi
XIP",31,0.94,0.35,0.10,17
"infiltrator
WU",37,1.11,0.11,0.14,27
"BerserX
BME",58,0.98,0.17,0.05,27
"none
9z.GC",28,1.14,0.18,0.21,32
"Tillo
spec",28,1.18,0.21,0.14,33
"parker
LR",19,1.11,0.47,0.00,21
"LizA
VLNT",26,1.08,0.12,0.12,28
"brawk
MxS",15,0.73,0.47,0.07,11
"Sayonara
KPI",16,1.06,0.19,0.13,17
"Oderus
MxS",15,0.87,0.27,0.20,13
"Tara
XIP",31,0.77,0.16,0.10,12
"astr0
1MS",24,1.08,0.29,0.13,26
"jduh
O1O",76,1.04,0.33,0.11,22
"gloom
EZKI",23,0.83,0.78,0.09,19
"Skelesis
86th",20,0.95,0.40,0.05,19
"f4ngeer
tras",39,0.90,0.15,0.28,20
"aspas
LEV",65,1.11,0.09,0.17,31
"Haxtrax
Sila",23,1.00,0.22,0.17,23
"Alexy
XIP",31,1.03,0.03,0.26,18
"Surf
TLN",19,0.74,0.21,0.05,14
"zander
M80",76,1.05,0.57,0.18,23
"maripo
RIG.L",23,0.96,0.22,0.04,22
pudj,17,1.00,0.47,0.00,17
"kev
Fish",40,1.25,0.05,0.25,27
ico,69,1.07,0.14,0.25,38
"Famouz
BME",58,1.17,0.28,0.33,29
"Happen
PMT",99,0.99,0.31,0.08,24
"xKyjote
GG",24,0.88,0.33,0.17,21
"Addicted
SAW",37,0.84,0.30,0.03,16
"Ash
LFG",59,0.97,0.08,0.15,22
"Nexi
NAOS",78,1.06,0.23,0.09,25
"invy
TS",69,0.97,0.61,0.07,25
"skyppervz
FG",23,1.04,0.26,0.04,24
"N4RRATE
KC",60,0.97,0.42,0.13,20
"Life
FPX",64,1.02,0.20,0.24,25
"Bully
NXT",18,0.83,0.17,0.00,15
"peace
TWIS.O",19,1.21,0.11,0.32,23
"Alessia
MDK",22,1.14,0.09,0.14,25
pop,17,0.94,0.24,0.06,16
"flyuh
MxS",15,0.80,0.47,0.00,12
"Kiles
CASE",42,0.83,0.43,0.12,18
"schnellÆ
BBL.Q",26,1.00,0.35,0.12,26
"trent
G2",37,0.73,0.27,0.05,19
"JuW
AKV.GC",22,1.14,0.14,0.27,25
"Lime
CASE",42,1.07,0.19,0.21,24
"fluxxy
O1O",76,0.88,0.17,0.05,23
Leen,39,1.10,0.23,0.15,25
"isa1
isa",44,1.02,0.18,0.25,25
"Neat
AOE",24,0.83,0.17,0.08,20
"fainz
RAAD",56,0.95,0.16,0.21,30
"Nanners
ZMM.B",66,0.95,0.27,0.18,24
Dizzy,36,0.94,0.39,0.08,19
"Neon
FG",23,1.00,0.39,0.17,23
"spike
2G",47,0.98,0.32,0.06,24
"Jesmu
OF",40,0.85,0.33,0.08,18
"Antidote
MLT",18,0.83,0.17,0.06,15
"ban
TLN",19,0.79,0.58,0.05,15
"enerii
XIP",31,0.87,0.29,0.19,15
"cheK
UNT",23,1.09,0.17,0.22,25
"alvin
Burg",46,0.98,0.15,0.13,27
"tril
UW.G",24,0.96,0.08,0.08,23
"rawfiul
MLT",18,1.00,0.33,0.17,18
"PIETY
NYX",42,0.86,0.07,0.07,20
"heat
KRÜ",43,0.93,0.65,0.05,26
lalambona,18,1.11,0.06,0.00,20
"JonahP
G2",37,0.95,0.24,0.14,19
Temai,22,1.00,0.36,0.09,22
"NiSMO
M80",76,0.79,0.72,0.11,20
"wedid
TTR",37,0.92,0.30,0.05,22
"Kubfu
TOG",69,1.01,0.16,0.13,27
"chanformer
NXT",18,0.83,0.22,0.00,15
"StarBound
FLY.R",62,0.87,0.11,0.10,20
"Minny
GN",61,0.93,0.02,0.08,20
"Vania
G2.G",112,0.94,0.33,0.11,31
"logaN
M8",37,0.89,0.16,0.05,19
"soulcas
APK",58,0.91,0.31,0.07,24
"alexiiik
GN",61,1.05,0.15,0.26,25
"RedLight
SLT",63,0.89,0.25,0.11,27
"FREY
LZE",21,0.90,0.33,0.00,19
"waleed
UG",67,0.84,0.33,0.04,23
"miniature
DTL",20,1.10,0.40,0.25,22
"dis
CSUL",38,0.89,0.32,0.16,20
"Goaster
MDR",21,0.95,0.14,0.19,20
"Velora
Team",19,1.21,0.16,0.16,23
"kaho
SFU.P",76,0.93,0.45,0.17,21
"kellyS
OAS",24,1.08,0.33,0.08,26
"Kess
UT",23,1.22,0.13,0.22,28
"Governor
TLN",19,0.89,0.11,0.37,17
"MCD
EQZ",22,0.86,0.09,0.05,19
"Blessed
FOC",78,0.92,0.24,0.14,23
"Hals
RC",57,0.91,0.14,0.11,18
"YESicaN
FCY",38,0.89,0.45,0.08,18
"Sato
GLRS",108,1.01,0.15,0.23,28
"rubkkoide
9z",43,1.00,0.33,0.12,23
"david
9z",43,0.81,0.28,0.07,19
"dip
VZ",24,0.75,0.50,0.13,18
"Xalleby
6K.Fem",20,0.85,0.30,0.35,17
"Rue
3E.V",19,1.11,0.37,0.16,21
"Cryocells
100T",23,1.13,0.09,0.30,26
"ch0ku
BSU",26,0.96,0.15,0.08,25
"Curumi
FL.GC",23,1.00,0.17,0.26,23
"Andrehs
AKV.GC",22,0.91,0.41,0.09,20
"Bgg
R8",40,0.80,0.50,0.13,18
"PapiChulo
NAOS",78,0.81,0.33,0.04,22
"Kamiyu
XIP",31,0.81,0.55,0.03,16
"jannyXD
RBT",21,1.10,0.19,0.33,23
"MOLSI
APK",58,0.90,0.26,0.07,24
"dth
KAMI",20,1.00,0.20,0.15,20
Fw,23,1.09,0.30,0.09,25
"azys
MLT",18,0.94,0.56,0.11,17
"lz
2G",47,0.79,0.19,0.11,19
"onob
ALE",26,0.88,0.31,0.27,23
"BRIAN
RC",57,1.02,0.25,0.09,26
"zeek
CVU.NBG",112,0.86,0.38,0.13,21
"ExiT
Twis",43,1.12,0.14,0.12,27
"NcSlasher
BME",58,0.81,0.84,0.17,19
"nataNk
M8",37,0.95,0.19,0.24,20
"ataraxia
LEV.GC",22,0.91,0.45,0.14,20
GunterR,36,0.89,0.39,0.11,20
"vizsla
FOC",78,0.91,0.14,0.15,23
"Redgar
GX",20,0.70,0.55,0.15,14
"Morita
ZEN.GC",22,1.14,0.14,0.32,25
"Japips
OGX",42,0.95,0.12,0.05,23
"madv
FLCV",54,0.96,0.20,0.13,31
"mada
MxS",15,0.93,0.07,0.27,14
"Atisca
BSCT",83,0.98,0.13,0.16,24
"Danda
DEMU",71,0.90,0.25,0.13,30
"glo
SFU.P",76,0.96,0.21,0.13,23
"vina
JFT",23,0.96,0.48,0.17,22
"Glance
KC.GC",43,0.98,0.12,0.12,27
"Srx
OXR",67,0.97,0.15,0.27,25
"Cade3k
TS",20,0.95,0.10,0.10,19
"Less
LOUD",106,0.83,0.25,0.08,27
"S1Mon
JDG",24,0.79,0.13,0.04,19
"Cla
NSR.I",21,1.10,0.14,0.05,23
"quantumrino
PMT",99,0.93,0.10,0.23,24
"Kalkkuna
STR99",18,1.17,0.22,0.33,21
"thief
YFP",19,0.84,0.05,0.05,16
"Shiro
BME",58,0.88,0.38,0.07,20
"Chrome
DG",19,1.11,0.11,0.16,21
"Reverie
KZ",17,1.18,0.06,0.06,20
"McKinley
AIC",77,0.97,0.18,0.03,35
"Luzuh
OVA",24,0.88,0.04,0.29,21
"Miku
FSX",20,1.00,0.25,0.30,20
dawwin,22,1.00,0.09,0.14,22
"Vorwenn
BAR",17,1.00,0.35,0.06,17
"AlexaIsHot
KS",20,0.85,0.10,0.05,17
"reshi
FIRE",28,0.96,0.29,0.14,27
"sibeastw0w
NASR",20,1.20,0.15,0.25,24
"Chanyboi
BNB",24,0.83,0.17,0.13,20
Albert1ks,20,0.85,0.25,0.15,17
"NAKSU
HOWL.M",22,0.95,0.09,0.32,21
"wackie
DSY",22,1.09,0.14,0.23,24
julian,26,0.96,0.27,0.08,25
"skies
BSU",20,1.05,0.15,0.35,21
"Mojer
NAOS",78,0.91,0.27,0.13,20
Monokuma,47,1.02,0.11,0.21,25
"Lami
EG",14,0.71,0.36,0.00,10
"adrnking
GRY",54,0.94,0.20,0.04,27
"srN
MIBR",20,0.95,0.25,0.15,19
"PTC
FS",89,0.85,0.37,0.12,22
"oli
RN",23,0.91,0.09,0.09,21
"Grmekista
DIA",64,0.73,0.34,0.08,23
"svv
Egir",40,0.88,0.10,0.13,18
"Cain
Torc",76,0.89,0.36,0.07,20
"xiTsha
DIA",64,0.97,0.23,0.11,23
"Sephia
HOWL.M",22,0.91,0.27,0.18,20
"Bonobo
FOC",78,1.01,0.12,0.18,24
"Australis
FT S",24,1.08,0.17,0.13,26
alexziN,24,0.79,0.25,0.08,19
"xffero
RRQ",44,0.91,0.07,0.05,23
"aluvily
Sere",24,0.88,0.00,0.08,21
"sociablEE
FF",19,0.84,0.37,0.05,16
Melsm,19,0.89,0.74,0.16,17
"Pie
Colo",67,0.81,0.37,0.10,21
"drakoNz
LGCY",49,0.92,0.35,0.08,30
"Polvi
GE",54,0.94,0.22,0.20,18
"ian
BSU",26,0.92,0.27,0.12,24
"glovee
GAL",21,0.86,0.29,0.14,18
"Veqaj
VX3",22,1.05,0.05,0.23,23
"AsLanM4shadoW
S2G",38,1.11,0.16,0.03,26
"Moh
FLC",167,0.90,0.14,0.10,28
"cman
ALE",26,1.00,0.08,0.15,26
Nasty,48,0.92,0.10,0.15,26
"forbanz
XLD",47,0.87,0.11,0.15,26
"NezhaaPotz
HTN",19,0.68,0.58,0.11,13
"MaximN
NXT",18,0.83,0.56,0.11,15
"PowerPixele
PP",55,0.75,0.47,0.11,20
"vaZ
ZEN.GC",22,0.77,0.41,0.09,17
"Leosen
SGE",22,1.09,0.14,0.09,24
"babzzz
ZIK",28,1.14,0.14,0.11,32
"req
MFC",68,1.00,0.15,0.16,24
"CarmenG7
NTH",42,0.86,0.24,0.14,22
"AvovA
APK",58,0.84,0.16,0.14,19
"chase
OLP",44,0.89,0.34,0.09,21
"eleo
OVA",24,0.67,0.33,0.04,16
"russ
S2G",38,0.95,0.13,0.32,26
"MAGNUM
KC",60,0.87,0.12,0.05,18
"rood
GLRS",108,0.81,0.16,0.07,20
"izana
Colo",67,0.75,0.18,0.12,20
"Jemkin
RRQ",44,0.91,0.05,0.14,26
"xavi8k
PHI",24,0.83,0.33,0.00,20
"Ruxic
FF",19,1.00,0.37,0.32,19
"kumi
ZMM.B",47,0.96,0.17,0.21,23
"GangPin
RC",57,0.74,0.35,0.04,20
"Riza
DSG",23,1.00,0.13,0.09,23
"stev0rr
UOL",23,0.83,0.13,0.00,19
"keznit
KRÜ",43,0.98,0.14,0.19,24
"A1D
MU",24,0.88,0.17,0.00,21
"nitr0
M80",76,0.76,0.22,0.07,20
"Sillyseal27
KS",20,0.95,0.05,0.00,19
Murr,18,0.89,0.22,0.06,16
"Yassien
RAAD",75,0.83,0.25,0.07,19
"emluo
FLY.R",78,0.88,0.31,0.09,18
"soren
Colo",67,0.87,0.18,0.21,24
"May
BSCT",22,1.00,0.09,0.14,22
"Mabuchi
UG",160,0.93,0.16,0.14,33
"HANN
SRP",63,0.90,0.25,0.22,20
"Manggong
SRP",63,0.84,0.11,0.10,25
"Vow
SRP",63,0.71,0.35,0.03,18
"Prestige
86th",20,0.85,0.10,0.00,17
"AKUMAAAAA
MDR",21,0.81,0.38,0.14,17
"Smoggy
EDG",57,0.84,0.53,0.08,20
"Crazy NY
XS",19,1.05,0.16,0.11,20
"mini
IW",24,0.79,0.25,0.04,19
"marteen
KC",60,0.95,0.17,0.17,23
"Kotaro
Impe",20,1.00,0.05,0.15,20
"B1SK
KPI",16,0.81,0.19,0.13,13
"MiniBoo
TH",59,0.95,0.37,0.24,25
"Zanatsu
RED",24,1.21,0.08,0.17,29
"7ssk7
NASR",20,0.75,0.90,0.05,15
"PatMen
ZOL",46,0.91,0.28,0.13,23
"lazylion
DSG",55,0.98,0.31,0.11,23
"Nunu
EQZ",22,0.73,0.45,0.18,16
"Zoestol
SAD",36,0.72,0.28,0.03,14
"Dark3st
SAD",36,0.83,0.28,0.22,21
AlMtRoOo3,67,0.85,0.24,0.06,26
"nAts
TL",41,0.80,0.41,0.07,19
YanLi,67,0.69,0.39,0.04,17
"Nille
WHO",96,0.88,0.24,0.09,29
"corey
TTR",37,0.76,0.49,0.11,18
"Hate
LFG",59,0.97,0.27,0.22,23
"Lynn
FIRE",28,0.93,0.21,0.32,26
Smoom,38,0.84,0.32,0.08,23
"kiss
Dead",23,0.96,0.17,0.39,22
"lenka
ZER.M",21,0.81,0.14,0.10,17
"Kachow
DVT",30,0.93,0.20,0.23,28
"PROFEK
GN",61,0.74,0.25,0.10,15
"Lightningfast
GE",54,0.85,0.43,0.06,24
"Cebando
AK",24,0.67,0.38,0.08,16
"chloric
LV",20,0.65,0.75,0.00,13
"sarahcat
SR",98,0.79,0.29,0.19,20
"BORKUM
TS",69,0.77,0.32,0.13,19
"zeddy
KPI",16,0.75,0.13,0.06,12
"Akai
FLC",167,0.89,0.26,0.21,24
"SoOn
MDR",21,0.67,0.19,0.05,14
"aduka
NXGA",87,0.76,0.24,0.14,21
"Moosey
BBP",17,0.82,0.35,0.35,14
"BcJ
M80",76,0.74,0.32,0.12,20
"BiGuNszZ
Yonk",19,0.89,0.11,0.05,17
"basya
VX3",22,0.73,0.14,0.09,16
GodsB,63,0.79,0.11,0.11,17
"viness
FPT",61,0.87,0.23,0.16,24
"FETA
AIC",77,0.88,0.10,0.18,33
"yiinel
Fish",66,0.76,0.23,0.09,24
"meL
SR",74,0.70,0.34,0.04,18
"Leon
UOL",23,1.00,0.17,0.30,23
"GLYPH
MR",76,0.87,0.41,0.09,23
"luckyMrJ
325",71,0.76,0.25,0.08,24
dino,21,0.81,0.38,0.05,17
"wayne
DSG",23,0.78,0.13,0.17,18
"Faska
EQZ",22,0.64,0.23,0.14,14
"hellff
TRS",118,0.77,0.19,0.11,25
"ketarys
AK",24,0.88,0.50,0.00,21
"toozy
VZ",44,0.70,0.48,0.07,21
ChiaWei,67,0.78,0.16,0.10,22
"Puffy
Shru",14,0.93,0.29,0.14,13
"MrFaliN
FUT",43,0.79,0.26,0.09,19
"Notexxd
Six",24,0.83,0.17,0.08,20
"YamzzI
FL.GC",23,0.74,0.43,0.04,17
"pyrolll
EX0",21,0.76,0.48,0.14,16
"mmonch
AKV.GC",22,0.73,0.18,0.05,16
"xann
SNG",78,0.96,0.22,0.22,28
"icy
G2",37,0.76,0.27,0.11,17
"bang
100T",23,0.74,0.48,0.09,17
"reN
BZE",34,0.94,0.09,0.12,20
"DelBisky
NYX",42,0.79,0.17,0.14,17
"55EE
JDG",24,1.00,0.04,0.08,24
"Ellie
KS",20,0.85,0.10,0.15,17
bunnycrepe,22,0.91,0.23,0.09,20
CRIME,46,0.93,0.22,0.13,27
"alyaL
FPT",61,0.90,0.13,0.11,23
Saitama,23,0.74,0.39,0.04,17
"psy
MDL",39,0.92,0.28,0.08,20
"L4CE
FLY.R",62,0.82,0.19,0.08,18
"jovahnii
BC",20,0.75,0.35,0.00,15
"DataKiller
Six",28,0.82,0.21,0.11,23
"welyy
RyZe",69,0.71,0.28,0.12,17
"f0rsakeN
PRX",46,0.80,0.33,0.11,21
"koalanoob
M80",76,0.72,0.42,0.16,15
"STYRON
SGP",21,0.90,0.19,0.10,19
"Keiko
TL",41,0.95,0.15,0.20,21
"k1zpawn
SAW",37,0.78,0.16,0.05,16
"Juja
IL",14,0.64,0.43,0.07,9
"Mot1on
CTLS",34,0.76,0.24,0.06,19
"NRK
HOF",49,0.78,0.27,0.06,19
"KHaaLiD
FLC",167,0.76,0.31,0.11,27
"JoBa
TAMU",24,0.83,0.17,0.08,20
"Winteryrook
R8",40,0.88,0.38,0.13,24
"murizzz
RETA",17,0.94,0.00,0.12,16
"Insider
KPI",16,0.75,0.13,0.13,12
"KILICARSLAN
DATH",24,0.79,0.46,0.17,19
"ValdyN
AE",19,0.89,0.21,0.21,17
"blaZek1ng
GE",54,0.76,0.50,0.11,20
"dimaxx
FUZO",16,0.56,0.56,0.00,9
"moobs
WU",37,0.81,0.41,0.22,19
lovers rock,66,0.86,0.12,0.20,26
"chukL9
APE",18,0.89,0.22,0.11,16
"Hoax
GRY",54,0.65,0.48,0.09,18
"Limpe
OF",40,0.95,0.18,0.33,24
"FacePalm
GG",24,0.79,0.08,0.04,19
"zMART
OXR",37,0.95,0.16,0.24,18
"oitaN
IGZ",20,0.60,0.70,0.10,12
"runi
C9",37,0.73,0.14,0.08,19
"kadiri
ARC",28,0.89,0.14,0.14,25
"qRaxs
FUT",43,0.63,0.65,0.02,16
"Akame
RC",57,0.84,0.19,0.28,23
"MKII
EDGE",87,0.80,0.23,0.20,25
"Zap
2G",47,0.64,0.02,0.02,19
"Unfair
UOL",23,0.74,0.13,0.04,17
Fighter,88,0.82,0.27,0.16,28
"AMNESTY
EDGE",87,0.86,0.24,0.13,30
"Anoxai
tras",32,0.75,0.06,0.16,24
"Kohliii
GRY",54,0.70,0.20,0.02,25
"Boni
Burg",46,0.67,0.35,0.04,18
"Chax
BOBO",34,0.88,0.21,0.15,30
