Player,RND,KPR,APR,FKPR,KMAX
r a f,21,1.52,0.38,0.24,32
ACE,15,1.40,0.13,0.20,21
"desire
SPRT",18,1.22,0.33,0.22,22
"mass3R
OP",13,1.23,0.38,0.15,16
"MaKo
DRX",21,0.95,0.52,0.00,20
"Sp1ke
CG",23,1.17,0.26,0.22,27
"WicK
DG",26,1.08,0.46,0.00,28
Monokuma,23,1.22,0.26,0.26,28
"shirazi
XIP",33,0.97,0.27,0.15,21
"nightz
ASTA",19,1.32,0.21,0.42,25
"Hiiro
GTZ",24,1.13,0.21,0.25,27
"Winteryrook
R8",39,1.13,0.31,0.15,23
"Milooo
RLF",18,1.00,0.44,0.06,18
"Shak0w
Colo",45,1.36,0.33,0.16,38
"Probably
TAMU",16,1.50,0.25,0.25,24
"richie
Thug",18,1.17,0.28,0.06,21
"Cinjvv
MGLZ",24,1.38,0.21,0.33,33
"Serenity
GHR",49,1.24,0.08,0.18,32
ico,41,0.98,0.44,0.17,22
"madv
FLCV",98,1.06,0.44,0.15,26
"Moechilla
STORM",17,1.00,0.12,0.12,17
"nTK
BAAM",17,1.12,0.35,0.12,19
"Suka
RLF",18,1.06,0.50,0.11,19
"Sayonara
KPI",16,1.19,0.44,0.13,19
"Kubfu
TOG",41,1.12,0.22,0.24,27
"aspas
LEV",58,1.16,0.22,0.19,47
"Fweshest
FC",16,0.94,0.19,0.06,15
"Kiles
CASE",18,1.17,0.33,0.17,21
"Blossi
aTTaX",17,1.12,0.35,0.18,19
"Tacolilla
FSN",20,1.05,0.10,0.30,21
"SkRossi
RVNT",40,0.98,0.30,0.15,26
"ReQz
NXT",22,1.14,0.27,0.14,25
Jade,17,1.00,0.47,0.06,17
grahams,68,0.96,0.50,0.12,20
"B1SK
KPI",16,0.94,0.56,0.06,15
"Alexy
XIP",33,0.97,0.30,0.15,19
LilGrizzly,19,1.21,0.16,0.16,23
"Acerola
LAZY",17,1.24,0.29,0.18,21
"welyy
RyZe",64,1.03,0.41,0.08,33
"Kamiyu
XIP",33,0.85,0.73,0.12,19
"Jerrwin
SEN",24,1.13,0.21,0.25,27
"Z3RO
OP",13,1.00,0.08,0.08,13
"mgS
Real",18,1.22,0.22,0.33,22
"guiih9
NOIT",18,1.06,0.00,0.00,19
"JA
NAOS",33,1.09,0.09,0.30,21
"Titan
UG",23,1.04,0.09,0.17,24
Docks,18,0.72,0.28,0.11,13
"moefcute
UBT",17,1.24,0.00,0.29,21
"zShoxy
HGE",19,1.11,0.32,0.37,21
"Vitie
Uzhi",22,1.05,0.09,0.14,23
Shinon,15,0.73,0.93,0.07,11
"anesilia
GMX.L",44,0.73,0.68,0.09,21
"Esperanza
NTH",20,0.95,0.15,0.05,19
"plat1num
Stas",18,0.94,0.39,0.28,17
"KILLDREAM
ELV",41,1.22,0.27,0.27,30
"Alluka
RRQ.K",38,0.87,0.50,0.05,17
"elllement
CGN",43,1.30,0.21,0.28,31
"Tim
ZMM.B",20,1.10,0.60,0.25,22
"enerii
XIP",33,0.91,0.30,0.24,16
"Dantedeu5
AK",37,0.95,0.70,0.08,24
"Nexi
NAOS",33,0.70,0.45,0.09,12
"swarm
CU.V",22,1.18,0.18,0.32,26
"chase
OLP",67,0.93,0.42,0.07,31
"Wolverine
NTH",20,1.15,0.25,0.30,23
"999kvmil
B8",13,1.00,0.23,0.15,13
"nerve
QOR",21,1.00,0.19,0.10,21
"Blahst
ZMM.B",20,0.85,0.20,0.10,17
"N4RRATE
KC",130,0.90,0.42,0.09,27
"Demiurge
MZP",23,1.17,0.17,0.22,27
"PapiChulo
NAOS",33,0.91,0.58,0.00,18
"Crewen
HOWL",20,0.80,0.20,0.05,16
"Petra
G2.G",20,1.10,0.15,0.25,22
"Biffy
Sere",22,1.05,0.14,0.27,23
"srN
MIBR",70,0.96,0.31,0.27,25
"VTaguT
ELV",41,0.88,0.44,0.15,22
"zeddy
KPI",16,1.00,0.50,0.06,16
"keznit
KRÜ",20,1.15,0.30,0.35,23
"DaviH
CGN",43,0.70,0.37,0.02,16
"dis
CSUL",18,1.00,0.33,0.22,18
"JoBa
TAMU",20,1.00,0.20,0.05,20
"eva
FLCV",43,0.95,0.28,0.05,28
"wedid
TTR",107,0.91,0.45,0.07,26
"Gianni
NOMA",42,0.88,0.50,0.05,27
"Anima
HOWL",20,0.70,0.60,0.00,14
"VenTT
HOWL",20,1.00,0.20,0.20,20
"Karra
FLY.R",15,0.73,0.13,0.07,11
"guuih
FSN",20,0.80,0.05,0.05,16
RSMM,20,1.20,0.05,0.15,24
"chanformer
NXT",22,0.55,0.82,0.00,12
"Danda
DEMU",43,0.88,0.51,0.09,26
"amy
G2.G",20,0.70,0.40,0.10,14
"kellyS
OAS",35,0.91,0.40,0.23,19
"mada
MxS",45,0.91,0.44,0.22,31
"Phatt
ELV",41,0.73,0.71,0.07,18
FaNbF4,24,1.08,0.21,0.29,26
"geeza
Grif",76,1.03,0.12,0.17,20
"heat
KRÜ",20,0.80,0.55,0.10,16
"dokja
Team",24,0.92,0.42,0.00,22
"d1srupt
TRS",36,1.08,0.31,0.25,21
"sacred
YFP",23,1.04,0.26,0.26,24
"Mazuong
BOBO",100,1.07,0.17,0.18,26
"Tristiieee
VZ",24,0.88,0.42,0.08,21
ArinJi,30,0.93,0.17,0.20,28
spagety,30,1.07,0.20,0.20,32
Leen,122,0.99,0.24,0.16,23
"SUYGETSU
NAVI",40,0.98,0.05,0.15,22
"SummonHalfa
AXL",19,0.84,0.42,0.05,16
"Avi
Team",24,0.88,0.38,0.08,21
"JULIA
SNG",23,0.74,0.52,0.13,17
"Shalaby
OP",13,0.92,0.46,0.31,12
"thiefy
NTH",20,0.90,0.80,0.00,18
"JohnOlsen
FS",56,1.00,0.09,0.21,27
exa,40,1.13,0.48,0.20,26
"mimi
G2.G",20,0.80,0.40,0.05,16
"Xeppaa
C9",22,0.91,0.45,0.05,20
"johnqt
SEN",161,0.80,0.38,0.07,29
"avery
YFP",23,0.91,0.48,0.04,21
"Sushiboys
FS",56,0.82,0.27,0.09,20
"Shao
NAVI",40,0.80,0.40,0.08,17
Sorrow,23,1.00,0.22,0.04,23
"Ash
LFG",64,0.84,0.23,0.17,21
"xavi8k
PHI",35,0.94,0.34,0.11,18
"runi
C9",22,0.82,0.32,0.09,18
"Hate
LFG",64,0.88,0.39,0.09,25
"Kohaibi
SMG.GC",38,0.89,0.42,0.08,20
"Ruxic
FF",91,0.86,0.40,0.10,24
"Mazino
LEV",58,0.83,0.41,0.09,25
"Toskri
GRID",24,1.04,0.33,0.13,25
"August
HOG",15,0.87,0.27,0.07,13
"JrayN
FB",22,0.82,0.32,0.14,18
"soulcas
APK",62,0.94,0.31,0.10,20
"Vania
G2.G",20,0.85,0.55,0.10,17
"Bunny
F4Q",60,1.00,0.27,0.27,25
"toxik
MSU",28,0.96,0.46,0.07,27
pashalime,80,0.94,0.38,0.05,22
"Lmemore
RRQ",36,0.97,0.19,0.14,23
DizzyFps,35,0.97,0.20,0.11,24
"florescent
SR",80,0.96,0.28,0.14,27
"ALEKSANDAR
MU",41,1.07,0.15,0.07,26
"Joliinaa
GX.GC",82,0.87,0.40,0.11,22
Slammed,28,1.07,0.11,0.43,30
"jvhz
XS",19,0.84,0.42,0.32,16
"cNed
FUT",49,0.88,0.24,0.22,25
kylo,39,1.08,0.05,0.13,23
"pumpkincat
Arch",26,0.92,0.46,0.04,24
"sickrey
R8",39,0.67,0.51,0.00,16
"Mojer
NAOS",33,0.79,0.39,0.09,14
"Dragon
JJH",44,0.82,0.41,0.00,21
"alyaL
FPT",21,0.95,0.38,0.00,20
"karie
SNG",48,0.85,0.21,0.15,21
"hoody
GX",60,0.88,0.32,0.20,30
"SugarZ3ro
ZETA",40,0.80,0.48,0.10,19
"pollo
OLP",67,0.93,0.28,0.10,24
"sScary
BLD",59,1.02,0.27,0.15,26
"Emman
NAOS",33,0.73,0.33,0.09,14
"Qrizma
CSUL",39,0.79,0.46,0.13,19
"Cal
GTZ",24,0.88,0.17,0.04,21
"cheK
UNT",67,0.82,0.40,0.03,25
"panday
YFP",23,0.78,0.26,0.04,18
"Ayumiii
RRQ.K",38,0.82,0.24,0.21,16
"f4ngeer
tras",20,0.75,0.25,0.20,15
"Aniemal
Wild",19,0.58,0.11,0.11,11
"dos9
RVNT",40,0.90,0.20,0.08,25
"PTC
FS",56,0.75,0.45,0.18,17
"PowerPixele
PP",60,0.93,0.33,0.10,19
