Player,RND,KPR,APR,FKPR,KMAX
"nightz
ASTA",14,1.50,0.43,0.43,21
Liminal,19,1.53,0.05,0.32,29
"austifrosti
TAMU",15,1.40,0.53,0.20,21
Dae,16,1.25,0.31,0.00,20
"Kalkkuna
STR99",17,1.41,0.41,0.24,24
"dodonut
FLY.R",51,1.20,0.35,0.16,27
"exile
ASTA",14,1.21,0.21,0.14,17
"Bing Chilling
TAMU",15,0.87,0.53,0.20,13
"JoBa
TAMU",15,1.00,0.53,0.20,15
"JuW
AKV.GC",59,1.15,0.27,0.29,29
"Davidp
3D",16,0.81,0.81,0.06,13
anotherrr,20,1.40,0.10,0.35,28
pashab,20,1.15,0.30,0.25,23
"Bob
SAD",39,1.18,0.31,0.10,24
"Vangz
NXGA",30,1.03,0.43,0.17,31
"Sephia
HOWL.M",17,1.18,0.24,0.29,20
"Cade3k
TS",18,1.17,0.22,0.22,21
"vibhoRR
MDL",16,0.94,0.56,0.25,15
Sadeem,21,1.19,0.19,0.05,25
"Jremy
TS",19,1.21,0.16,0.32,23
"LEW
JJH",21,1.19,0.19,0.14,25
"Rebo
ROSE",36,1.08,0.31,0.11,24
"L4CE
FLY.R",35,1.23,0.43,0.11,22
"HEMMORJAY
SKUL",18,1.11,0.28,0.28,20
"Sinaway
AIC",87,1.08,0.23,0.14,27
"Spaz
TACO",38,0.97,0.50,0.13,20
"lexa
TWIS.O",66,1.18,0.14,0.17,30
"Kohaibi
SMG.GC",55,1.02,0.42,0.13,26
"PatMen
ZOL",50,1.18,0.24,0.28,30
"MARCTYLINHO
DVM",23,0.87,0.43,0.09,20
"999kvmil
B8",22,1.23,0.32,0.05,27
"Kehmicals
TOR",16,0.94,0.44,0.00,15
exa,26,1.12,0.31,0.08,29
"Felipa
BBL.Q",39,0.92,0.28,0.13,22
"Xdll
FL",44,1.09,0.41,0.20,24
amelist,16,0.81,0.81,0.06,13
"Jazzyk1ns
COL",36,1.06,0.44,0.19,23
"ZmjjKK
EDG",83,1.00,0.31,0.23,30
"prozin
TBK",21,1.10,0.29,0.19,23
kodeth,21,1.38,0.24,0.33,29
"lazylion
DSG",36,0.94,0.44,0.14,19
"Nayte
ZER",16,1.06,0.00,0.25,17
